unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1602720000000,51.43,59.0,42.747,42.999,98648.87,1602806399999,4650960.754418,19170,51212.945,2418096.059256,0,
1602806400000,43.017,43.8,39.092,39.461,90836.412,1602892799999,3794719.232602,14644,40523.134,1690831.615998,0,
1602892800000,39.371,43.235,38.206,41.365,41971.143,1602979199999,1722978.886806,10050,21967.79,902329.182634,0,
1602979200000,41.359,41.425,39.428,40.75,30917.953,1603065599999,1244573.672708,6070,14637.559,589618.303984,0,
1603065600000,40.82,41.0,35.912,35.98,86475.936,1603151999999,3302379.650739,13310,31405.953,1205258.992416,0,
1603152000000,36.0,36.403,32.0,32.16,202653.504,1603238399999,6919378.573186,32163,90475.509,3086026.266136,0,
1603238400000,32.186,37.145,32.0,35.073,145648.768,1603324799999,5081015.907552,21362,74444.37,2597675.333067,0,
1603324800000,35.033,40.379,33.266,37.836,154369.978,1603411199999,5695875.053159,24642,82375.768,3058996.050075,0,
1603411200000,37.911,42.658,36.998,41.681,190627.951,1603497599999,7641039.830951,32341,98996.315,3975770.34531,0,
1603497600000,41.681,42.63,38.502,39.437,102431.608,1603583999999,4139709.318964,17248,47966.202,1941352.235002,0,
1603584000000,39.438,41.0,37.2,37.895,74622.933,1603670399999,2922907.249689,14200,33785.67,1327217.861105,0,
1603670400000,37.893,39.192,34.855,35.95,95472.309,1603756799999,3536029.836383,17671,46402.34,1722973.961151,0,
1603756800000,35.968,39.001,34.373,34.869,178571.486,1603843199999,6514725.353832,22827,103759.011,3785127.999608,0,
1603843200000,34.935,35.67,32.0,32.422,144227.574,1603929599999,4812189.678536,17857,65290.722,2186780.825942,0,
1603929600000,32.427,33.23,28.124,29.244,175965.908,1604015999999,5337447.291232,19201,70057.843,2121156.621328,0,
1604016000000,29.178,32.0,27.73,31.087,180251.719,1604102399999,5372756.175277,20892,81791.547,2441715.955743,0,
1604102400000,31.087,32.938,29.515,29.7,113411.559,1604188799999,3505948.510307,13636,60900.65,1883548.052347,0,
1604188800000,29.737,31.124,28.2,30.757,83150.52,1604275199999,2457681.036523,10018,39481.125,1166990.760211,0,
1604275200000,30.703,34.485,29.13,29.724,179642.325,1604361599999,5645704.429569,23320,95080.64,2990304.359108,0,
1604361600000,29.723,30.075,27.424,28.122,84414.77,1604447999999,2391137.180394,10202,39143.016,1109194.976204,0,
1604448000000,28.142,28.444,26.065,27.686,81620.589,1604534399999,2243516.704799,9037,39185.181,1076673.73157,0,
1604534400000,27.752,33.0,25.939,30.995,222270.509,1604620799999,6569133.251852,26818,110929.08,3297748.047086,0,
1604620800000,30.997,41.0,30.843,38.65,375996.381,1604707199999,13692252.460222,52828,202388.073,7381276.178018,0,
1604707200000,38.555,51.9,38.341,44.529,489983.21,1604793599999,21717245.519094,71428,253033.069,11194607.952956,0,
1604793600000,44.426,54.9,42.606,53.931,361623.58,1604879999999,17804806.376261,59777,180695.109,8906407.903047,0,
1604880000000,53.95,59.094,49.45,55.113,563452.114,1604966399999,30514861.042537,102681,284078.285,15418355.93169,0,
1604966400000,55.191,70.825,52.822,66.988,555485.003,1605052799999,34951251.012144,98874,297974.702,18755003.162611,0,
1605052800000,67.066,69.26,53.295,54.437,673820.577,1605139199999,39926925.612497,117166,321379.39,19054325.015287,0,
1605139200000,54.521,60.0,50.4,51.794,441454.103,1605225599999,24134321.189023,75179,219618.948,12024936.168852,0,
1605225600000,51.759,66.888,51.045,63.456,676038.281,1605311999999,41201652.624512,129925,349433.565,21403498.971735,0,
1605312000000,63.456,68.874,57.794,66.83,451967.266,1605398399999,28519226.734568,78646,231116.921,14618479.405309,0,
1605398400000,66.855,71.414,58.766,64.256,492772.891,1605484799999,32648363.122259,84569,234953.941,15630726.187208,0,
1605484800000,64.251,74.5,60.903,72.975,451995.496,1605571199999,31113781.234928,75945,239518.779,16550182.156729,0,
1605571200000,72.958,80.0,68.515,79.263,470703.668,1605657599999,34676792.605717,94469,235226.859,17383863.248968,0,
1605657600000,79.262,79.999,67.02,75.15,434314.725,1605743999999,31998617.776802,87341,207113.308,15290248.762122,0,
1605744000000,75.187,81.445,70.27,76.28,447059.089,1605830399999,33932749.88769,92727,218273.334,16631927.593635,0,
1605830400000,76.381,82.48,74.36,74.945,348080.239,1605916799999,27165510.093445,88564,169329.887,13241979.376229,0,
