unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1643068800000,2.0,2.8,1.82,2.011,20133566.29,1643155199999,40903638.54657,124436,9536737.32,19389960.41733,0,
1643155200000,2.011,2.102,1.581,1.684,11243459.16,1643241599999,21355296.9628,67405,4908162.12,9343423.8616,0,
1643241600000,1.688,1.783,1.512,1.586,6619352.3,1643327999999,10818434.09732,33670,2881008.05,4722209.6956,0,
1643328000000,1.592,1.668,1.51,1.618,3807707.33,1643414399999,5978081.44544,19904,1617364.1,2551929.04418,0,
1643414400000,1.613,1.715,1.584,1.634,3671436.87,1643500799999,6066222.16987,18822,1859245.22,3079894.02236,0,
1643500800000,1.634,1.764,1.512,1.512,3138241.65,1643587199999,5096238.49542,16342,1387593.39,2268280.49658,0,
1643587200000,1.521,1.544,1.418,1.467,3589918.18,1643673599999,5329289.1454,16942,1476864.34,2194050.73819,0,
1643673600000,1.466,1.583,1.46,1.475,2361130.8,1643759999999,3575663.16849,14725,1106010.51,1679155.12479,0,
1643760000000,1.479,1.509,1.299,1.308,2977669.5,1643846399999,4163375.65255,15528,1253718.78,1760079.10521,0,
1643846400000,1.308,1.342,1.21,1.258,3449854.02,1643932799999,4325187.83222,22295,1381805.01,1738651.83,0,
1643932800000,1.261,1.78,1.231,1.665,16002200.2,1644019199999,24935162.53588,92807,8098637.4,12679174.97461,0,
1644019200000,1.665,1.88,1.618,1.648,7584483.71,1644105599999,13205009.16436,43895,3375358.84,5908367.94434,0,
1644105600000,1.648,1.71,1.57,1.686,3417955.05,1644191999999,5566011.93872,20217,1541679.42,2516436.13396,0,
1644192000000,1.686,1.9,1.592,1.754,3697562.66,1644278399999,6217044.30312,28112,1887668.77,3203826.80285,0,
1644278400000,1.753,1.957,1.621,1.784,6967735.28,1644364799999,12416363.53729,46338,3606268.09,6476930.61459,0,
1644364800000,1.784,1.862,1.687,1.777,2858189.46,1644451199999,5077246.25324,17994,1450238.21,2579805.55059,0,
1644451200000,1.784,1.956,1.7,1.75,4340568.4,1644537599999,7951383.05067,30173,1950541.1,3581045.80242,0,
1644537600000,1.751,1.832,1.531,1.561,3550738.97,1644623999999,6053388.63466,22162,1546234.66,2648111.99546,0,
1644624000000,1.562,1.626,1.415,1.479,3215263.06,1644710399999,4824855.96574,14514,1427265.58,2148405.12247,0,
1644710400000,1.48,1.656,1.418,1.466,3357882.3,1644796799999,5066178.38451,21983,1634294.5,2471725.14143,0,
