unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1642723200000,4.19,6.662,4.052,4.67,7584526.26,1642809599999,40830128.94609,136900,3954333.21,21367229.17777,0,
1642809600000,4.681,7.22,4.546,4.835,15608496.91,1642895999999,88291584.38032,260607,7973235.43,45120484.16311,0,
1642896000000,4.825,4.983,4.226,4.378,2721626.79,1642982399999,12434605.27365,40650,1306037.5,5978089.91063,0,
1642982400000,4.378,4.543,3.5,3.92,1784142.72,1643068799999,6963774.44342,23934,851825.82,3321297.86509,0,
1643068800000,3.917,4.08,3.646,3.803,958501.91,1643155199999,3690199.92406,16210,482340.38,1855731.30513,0,
1643155200000,3.803,4.279,3.6,3.77,1034216.6,1643241599999,4090999.01634,15603,557678.47,2218506.42756,0,
1643241600000,3.78,3.968,3.47,3.966,552988.14,1643327999999,2027341.34715,7811,253194.93,929619.83103,0,
1643328000000,3.964,4.061,3.631,3.757,629721.83,1643414399999,2400319.54538,8451,306846.89,1169193.45997,0,
1643414400000,3.756,3.979,3.59,3.7,420534.32,1643500799999,1594110.71611,5902,198164.22,750536.27177,0,
1643500800000,3.7,3.799,3.513,3.644,321231.71,1643587199999,1178298.5143,4996,153212.65,562699.45428,0,
1643587200000,3.636,3.64,3.331,3.42,542419.86,1643673599999,1855097.51574,6579,268763.62,919630.84478,0,
1643673600000,3.423,3.88,3.398,3.574,775132.94,1643759999999,2773846.9332,12921,370169.84,1325235.30942,0,
1643760000000,3.574,3.799,3.359,3.411,1074929.34,1643846399999,3839162.17718,16350,504622.98,1806417.44188,0,
1643846400000,3.411,3.5,3.23,3.391,488244.47,1643932799999,1634865.95177,5973,226130.59,756901.46135,0,
1643932800000,3.392,3.65,3.355,3.561,353542.41,1644019199999,1232475.0417,4708,173604.19,606665.01032,0,
1644019200000,3.561,3.795,3.44,3.575,523771.43,1644105599999,1887008.85696,7994,247251.54,891608.55182,0,
1644105600000,3.571,3.82,3.564,3.648,431318.11,1644191999999,1581083.25268,7427,197172.42,723188.0467,0,
1644192000000,3.645,3.877,3.597,3.809,322047.51,1644278399999,1209488.50844,5332,157463.08,591828.92288,0,
1644278400000,3.809,4.313,3.65,3.838,498781.75,1644364799999,1950497.24743,7935,236438.68,926054.32592,0,
1644364800000,3.841,4.598,3.69,4.029,1039850.89,1644451199999,4380912.32272,15290,503885.67,2132450.73137,0,
1644451200000,4.046,4.9,3.962,4.476,2352158.36,1644537599999,10502558.48295,36800,1136795.38,5085188.13301,0,
1644537600000,4.477,4.618,3.854,3.957,1572990.76,1644623999999,6654379.83493,23102,764252.41,3234264.43307,0,
1644624000000,3.957,4.39,3.868,4.092,526169.53,1644710399999,2128430.36593,7443,248266.72,1006251.67328,0,
1644710400000,4.085,5.39,4.062,4.582,4394741.0,1644796799999,21164202.82528,79926,2215183.84,10706329.23071,0,
1644796800000,4.587,4.882,4.152,4.346,1079626.63,1644883199999,4748536.81089,17601,526302.86,2321151.27711,0,
1644883200000,4.349,4.856,4.314,4.656,734715.2,1644969599999,3374751.92283,11124,352817.03,1620988.56041,0,
1644969600000,4.638,4.9,4.396,4.595,411150.75,1645055999999,1882265.66658,7580,217260.22,999153.64004,0,
1645056000000,4.601,5.6,4.539,4.99,3741616.1,1645142399999,19182898.18107,77374,1832885.2,9409342.3185,0,
1645142400000,5.001,6.6,4.832,5.998,6665994.74,1645228799999,38432599.59283,149318,3340350.29,19289952.14333,0,
1645228800000,6.007,9.762,6.001,7.454,21379072.72,1645315199999,174742906.39901,539689,10737567.04,87861550.93586,0,
1645315200000,7.46,9.2,6.5,6.979,10447022.32,1645401599999,82827354.06771,242003,5178320.05,41108994.57717,0,
1645401600000,6.968,7.6,5.61,5.703,3822449.1,1645487999999,24622162.97791,72214,1821019.66,11747545.8544,0,
1645488000000,5.698,6.097,5.165,5.99,4210800.79,1645574399999,23394884.11543,65007,2060620.7,11469012.16172,0,
