unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1572998400000,0.02109000,0.03800000,0.02050000,0.02720000,256674493.50000000,1573084799999,6791977.34023500,26350,120007106.60000000,3193844.40149000,0
1573084800000,0.02722000,0.02950000,0.02139000,0.02278000,198157634.30000000,1573171199999,4790668.84812800,22548,74677841.30000000,1806341.12011400,0
1573171200000,0.02280000,0.02349000,0.01933000,0.02036000,102977995.80000000,1573257599999,2156256.62454400,14618,40054164.60000000,836225.47364800,0
1573257600000,0.02035000,0.02274000,0.02004000,0.02146000,123439999.50000000,1573343999999,2658264.10842400,13154,52733472.90000000,1134499.62988300,0
1573344000000,0.02151000,0.02184000,0.01996000,0.02051000,62132635.70000000,1573430399999,1308672.86305200,9307,19873745.20000000,418754.69659800,0
1573430400000,0.02050000,0.02069000,0.01926000,0.01959000,43299881.30000000,1573516799999,865539.00773800,8229,19634676.00000000,393901.26849900,0
1573516800000,0.01961000,0.01971000,0.01840000,0.01907000,38117661.50000000,1573603199999,725823.74354300,8087,16094856.50000000,306565.91291400,0
1573603200000,0.01907000,0.01955000,0.01782000,0.01827000,29840222.10000000,1573689599999,566002.86009600,6525,13687800.60000000,259475.67281000,0
1573689600000,0.01831000,0.01840000,0.01700000,0.01725000,42915752.30000000,1573775999999,754347.40695000,8589,16395699.30000000,288580.01578400,0
1573776000000,0.01726000,0.01748000,0.01625000,0.01643000,42653585.90000000,1573862399999,717477.59500600,7673,20421145.20000000,344215.89743400,0
1573862400000,0.01643000,0.01725000,0.01630000,0.01710000,23778804.50000000,1573948799999,397900.08084400,6134,9904430.20000000,165859.61412600,0
1573948800000,0.01714000,0.01796000,0.01670000,0.01734000,37051216.10000000,1574035199999,642744.57786500,8226,17865346.00000000,310553.20268600,0
1574035200000,0.01734000,0.01744000,0.01491000,0.01530000,35300762.30000000,1574121599999,578570.89991100,8304,14440047.30000000,238388.42981200,0
1574121600000,0.01530000,0.01564000,0.01434000,0.01466000,31140425.20000000,1574207999999,465297.68499200,6800,14329784.30000000,214319.34488900,0
1574208000000,0.01466000,0.01533000,0.01447000,0.01472000,28566682.30000000,1574294399999,423178.57939500,6065,15765756.10000000,233034.75359500,0
1574294400000,0.01468000,0.01482000,0.01227000,0.01279000,33910605.10000000,1574380799999,454160.35046500,6802,13876460.60000000,186200.69609600,0
1574380800000,0.01280000,0.01328000,0.01060000,0.01139000,45731499.60000000,1574467199999,538501.34059600,7505,21107057.60000000,247668.46280100,0
1574467200000,0.01140000,0.01199000,0.01068000,0.01157000,33399782.90000000,1574553599999,377895.66129100,6538,14454638.80000000,164117.17969000,0
1574553600000,0.01159000,0.01165000,0.01012000,0.01016000,26833011.80000000,1574639999999,295002.73745500,5360,11678862.60000000,128748.71350900,0
1574640000000,0.01012000,0.01262000,0.00897000,0.01062000,34655756.50000000,1574726399999,342776.06621900,2837,17410137.40000000,171814.30732900,0
1574726400000,0.01065000,0.01199000,0.00994000,0.01160000,32445301.00000000,1574812799999,356462.71120000,3022,13987894.00000000,153839.67557100,0
1574812800000,0.01158000,0.01249000,0.01066000,0.01170000,41815430.30000000,1574899199999,485129.64722800,3286,16557021.30000000,192358.41843300,0
1574899200000,0.01174000,0.01322000,0.01148000,0.01194000,32178414.10000000,1574985599999,387099.78353400,2574,13615081.60000000,164366.51448000,0
1574985600000,0.01197000,0.01207000,0.01127000,0.01156000,22947481.20000000,1575071999999,267153.53211100,2129,9439806.50000000,109475.97411900,0
1575072000000,0.01158000,0.01190000,0.01101000,0.01127000,18220685.70000000,1575158399999,210034.52356700,5484,9873890.60000000,113976.03949900,0
1575158400000,0.01127000,0.01148000,0.01044000,0.01111000,17331904.10000000,1575244799999,188092.09024200,5216,8698470.30000000,94357.62861400,0
1575244800000,0.01111000,0.01144000,0.01051000,0.01092000,19431599.00000000,1575331199999,213179.02646500,5642,8538526.20000000,93646.61892100,0
1575331200000,0.01093000,0.01184000,0.01085000,0.01144000,22741438.30000000,1575417599999,260343.44812800,5937,10821050.80000000,123749.22641800,0
1575417600000,0.01148000,0.01171000,0.01075000,0.01106000,31082988.00000000,1575503999999,349172.44988700,5892,14083216.40000000,158009.09451200,0
1575504000000,0.01102000,0.01119000,0.01029000,0.01088000,21666639.40000000,1575590399999,232386.01803000,5367,10158464.00000000,108932.67681900,0
1575590400000,0.01092000,0.01132000,0.01060000,0.01097000,15660835.60000000,1575676799999,170777.34178300,5232,6926369.00000000,75669.61272100,0
1575676800000,0.01097000,0.01138000,0.01033000,0.01094000,24402598.40000000,1575763199999,265537.64128900,5191,13090697.10000000,142838.47350900,0
1575763200000,0.01094000,0.01180000,0.01052000,0.01151000,32475114.20000000,1575849599999,366051.55661500,5939,14663975.10000000,164826.03301000,0
1575849600000,0.01151000,0.01178000,0.01087000,0.01096000,18867931.80000000,1575935999999,213428.48692600,2244,8944599.20000000,101492.58518500,0
1575936000000,0.01099000,0.01101000,0.00900000,0.00957000,33801127.10000000,1576022399999,337263.95673700,3497,14513496.60000000,144770.89822700,0
1576022400000,0.00956000,0.01018000,0.00920000,0.00953000,14087741.10000000,1576108799999,136636.21153200,1301,6412159.50000000,61962.09607600,0
1576108800000,0.00955000,0.00962000,0.00900000,0.00928000,13732281.20000000,1576195199999,125965.26903600,1579,6190834.10000000,56888.66811900,0
1576195200000,0.00926000,0.00974000,0.00926000,0.00966000,13082102.80000000,1576281599999,124378.65855700,1920,5844942.50000000,55714.15595600,0
1576281600000,0.00962000,0.00972000,0.00878000,0.00917000,10265893.90000000,1576367999999,95359.50900300,1696,4958098.50000000,46069.70392200,0
1576368000000,0.00911000,0.01010000,0.00891000,0.00968000,25671240.60000000,1576454399999,248924.78232600,2656,11462648.60000000,111478.95357200,0
1576454400000,0.00971000,0.01008000,0.00879000,0.00903000,17725967.20000000,1576540799999,167769.05916800,2337,7997103.90000000,75849.24879600,0
1576540800000,0.00903000,0.00923000,0.00795000,0.00804000,22093812.80000000,1576627199999,189578.93430200,2321,10132464.40000000,86963.63331300,0
1576627200000,0.00807000,0.00897000,0.00801000,0.00891000,20055235.20000000,1576713599999,170746.98880500,2377,10507457.40000000,89578.79569700,0
1576713600000,0.00891000,0.00941000,0.00847000,0.00913000,15773856.10000000,1576799999999,139825.48966600,1986,8197310.30000000,72781.97945100,0
1576800000000,0.00911000,0.00930000,0.00880000,0.00913000,13312785.60000000,1576886399999,120253.44502100,1850,6282952.00000000,56921.67642400,0
1576886400000,0.00913000,0.00985000,0.00908000,0.00960000,17477616.80000000,1576972799999,165303.71275700,2214,8067350.00000000,76428.12472200,0
1576972800000,0.00962000,0.01190000,0.00898000,0.01058000,118445656.30000000,1577059199999,1257008.33320800,8855,49996356.00000000,529698.38029100,0
1577059200000,0.01058000,0.01179000,0.01030000,0.01093000,76605457.70000000,1577145599999,845678.58702400,7442,32863942.00000000,363664.23329700,0
1577145600000,0.01093000,0.01250000,0.01090000,0.01169000,111121543.40000000,1577231999999,1301180.66021000,8447,53022599.50000000,621112.27913600,0
1577232000000,0.01170000,0.01170000,0.01051000,0.01067000,54364954.70000000,1577318399999,593907.14651900,4584,24979841.60000000,272771.55667300,0
1577318400000,0.01064000,0.01108000,0.01035000,0.01073000,31182133.50000000,1577404799999,333682.86166700,3208,14940430.50000000,160021.78481700,0
1577404800000,0.01073000,0.01141000,0.01069000,0.01119000,35511530.60000000,1577491199999,391203.57118700,3287,18699529.20000000,206124.92500700,0
1577491200000,0.01118000,0.01135000,0.01067000,0.01072000,19016446.50000000,1577577599999,208042.40808600,2137,8902284.50000000,97536.70937600,0
1577577600000,0.01072000,0.01078000,0.00974000,0.00989000,34483871.40000000,1577663999999,351145.55193100,3095,13646904.30000000,139238.40390000,0
1577664000000,0.00990000,0.00999000,0.00942000,0.00951000,20690330.20000000,1577750399999,200544.48436800,2041,9444398.50000000,91542.55327000,0
1577750400000,0.00949000,0.01097000,0.00926000,0.01029000,86837974.00000000,1577836799999,898360.36865100,5673,42295718.10000000,437909.55388300,0
1577836800000,0.01028000,0.01092000,0.01023000,0.01064000,786061811.20000000,1577923199999,8324651.04450300,27515,385534297.00000000,4082489.36598800,0
