unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1600732800000,0.85,7.0,0.85,5.3193,31441883.16,1600819199999,166715315.42381,375884,15867808.7,84391801.590047,0,
1600819200000,5.3279,5.36,3.4,3.535,12620608.01,1600905599999,53155220.869282,168336,5975856.86,25177802.579649,0,
1600905600000,3.5305,4.8873,3.4033,4.6411,7107843.86,1600991999999,28912533.318708,104806,3482423.44,14176364.441867,0,
1600992000000,4.6366,5.0234,4.2001,4.7134,3886096.71,1601078399999,17910676.096147,78381,1939527.03,8959695.651471,0,
1601078400000,4.7164,4.82,4.3294,4.52,1814932.97,1601164799999,8304263.783599,34016,916629.09,4197036.683761,0,
1601164800000,4.5214,4.7134,4.1068,4.6484,1500134.56,1601251199999,6626177.405459,25867,756716.56,3345085.496821,0,
1601251200000,4.6485,4.705,4.1667,4.2021,1210446.38,1601337599999,5281810.912446,20903,587480.78,2564973.668283,0,
1601337600000,4.1999,4.2899,3.9607,4.1394,1057878.53,1601423999999,4361852.971104,17711,513115.83,2114082.2838,0,
1601424000000,4.1429,4.411,3.9958,4.3293,915518.31,1601510399999,3839122.432152,18015,489319.81,2054104.3574,0,
1601510400000,4.3293,4.53,4.014,4.15,1477288.72,1601596799999,6232982.476506,20441,689276.49,2916374.981415,0,
1601596800000,4.1422,4.2198,3.6332,3.9115,1847614.48,1601683199999,7189956.875417,23878,912029.39,3544016.217794,0,
1601683200000,3.9156,4.19,3.8696,4.0168,679798.03,1601769599999,2729615.964657,7459,338959.89,1363166.13737,0,
1601769600000,4.0202,4.0798,3.8334,3.964,630849.97,1601855999999,2483672.142012,8755,311192.36,1226312.278637,0,
1601856000000,3.9582,4.0456,3.87,3.9813,475912.76,1601942399999,1883990.190668,7561,249601.96,988636.791713,0,
1601942400000,3.9949,4.0,3.5,3.5424,971155.87,1602028799999,3553458.059347,17876,429350.42,1574108.838317,0,
1602028800000,3.5401,3.5462,3.207,3.442,988661.32,1602115199999,3329160.072095,16799,489077.28,1651793.224333,0,
1602115200000,3.4409,3.9599,3.3228,3.9147,900977.83,1602201599999,3300534.466961,11436,437112.81,1592486.153988,0,
1602201600000,3.9147,4.3252,3.8034,4.2491,573063.37,1602287999999,2339370.568006,10448,308475.19,1258499.54969,0,
1602288000000,4.2427,4.2693,4.0001,4.023,821315.35,1602374399999,3382885.218935,10467,353922.56,1456595.650336,0,
