unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1551657600000,0.1691,0.1935,0.1591,0.1674,1813316.97,1551743999999,304068.983448,2146,874351.11,146633.665996,0,
1551744000000,0.1675,0.183,0.1666,0.176,3154945.05,1551830399999,549031.943702,4439,1388135.33,241722.94917,0,
1551830400000,0.1763,0.1778,0.1696,0.1723,1529054.33,1551916799999,264298.478669,3003,592532.45,102741.728093,0,
1551916800000,0.1727,0.1845,0.1531,0.181,2326293.79,1552003199999,404443.267579,3493,772786.25,136605.685953,0,
1552003200000,0.181,0.209,0.16,0.1947,9072474.48,1552089599999,1760329.858905,9914,3858727.89,750059.279947,0,
1552089600000,0.1948,0.2146,0.1903,0.208,6051922.63,1552175999999,1212906.065901,8204,3180788.13,638566.856565,0,
1552176000000,0.2074,0.2137,0.1951,0.1956,2725744.77,1552262399999,555533.789024,4683,1157454.32,236036.421512,0,
1552262400000,0.1955,0.2,0.187,0.1925,2091272.33,1552348799999,402636.96889,3697,978055.38,188753.832129,0,
1552348800000,0.1915,0.1979,0.1829,0.1924,1722904.78,1552435199999,330617.561709,2436,741838.88,142022.527471,0,
1552435200000,0.1924,0.2,0.1875,0.1885,1602148.91,1552521599999,307054.830852,2443,678719.13,130671.48809,0,
1552521600000,0.1885,0.202,0.1836,0.1925,2629110.96,1552607999999,503879.108712,3757,1113415.81,214657.677884,0,
1552608000000,0.1927,0.199,0.1917,0.1956,1325108.08,1552694399999,259398.160742,2094,679186.56,133107.758618,0,
1552694400000,0.1956,0.1993,0.1945,0.1966,753433.59,1552780799999,148510.611592,1536,384054.71,75820.496554,0,
1552780800000,0.1966,0.1978,0.1914,0.1931,1027520.27,1552867199999,199616.847522,1363,324686.16,62958.980471,0,
1552867200000,0.1938,0.199,0.1902,0.194,941245.69,1552953599999,182650.269277,1614,414107.5,80616.810311,0,
1552953600000,0.194,0.1949,0.1903,0.1921,1029294.82,1553039999999,197520.978544,1262,291324.35,55953.387955,0,
1553040000000,0.1912,0.1948,0.1869,0.1942,1530910.89,1553126399999,292093.81861,2047,437819.15,83617.966828,0,
1553126400000,0.194,0.202,0.1866,0.1946,2472085.11,1553212799999,478591.435622,2746,949661.14,184946.703817,0,
1553212800000,0.1946,0.1991,0.1916,0.1976,1197105.49,1553299199999,234965.482858,1537,620298.74,121640.671469,0,
1553299200000,0.1967,0.2022,0.1963,0.2003,1026729.46,1553385599999,204897.560959,1600,495710.56,98928.672297,0,
1553385600000,0.2009,0.2208,0.1893,0.2089,5149809.11,1553471999999,1089180.946627,6086,2369344.51,501611.744102,0,
1553472000000,0.2089,0.21,0.1943,0.2033,2356988.2,1553558399999,479131.768072,3253,828103.34,168807.257113,0,
1553558400000,0.2033,0.2205,0.2027,0.2142,4338391.54,1553644799999,920069.92152,6284,1874510.58,398437.3898,0,
1553644800000,0.2157,0.2277,0.2109,0.2251,2966882.32,1553731199999,649081.31908,4067,1309854.21,286927.259153,0,
1553731200000,0.2251,0.259,0.2197,0.2533,8033955.59,1553817599999,1927357.732217,10136,3812901.59,911891.597615,0,
1553817600000,0.2533,0.3168,0.2516,0.2837,15368875.74,1553903999999,4282104.602338,19911,6958872.54,1936727.068322,0,
1553904000000,0.2841,0.2863,0.257,0.2708,6809285.79,1553990399999,1839519.632249,10833,2966298.21,801893.8984,0,
1553990400000,0.2717,0.2929,0.2651,0.2881,3913553.88,1554076799999,1081675.616527,7514,1931942.96,535590.214797,0,
1554076800000,0.2885,0.307,0.2824,0.283,8335774.52,1554163199999,2451399.866293,11658,3431345.38,1010549.36047,0,
1554163200000,0.2842,0.3215,0.2824,0.3205,8925543.49,1554249599999,2696128.966146,14081,4337615.54,1313492.757825,0,
1554249600000,0.3203,0.3209,0.2719,0.2832,8908783.3,1554335999999,2706305.406588,14408,4025833.3,1222867.063574,0,
1554336000000,0.2846,0.3053,0.268,0.2829,4109972.24,1554422399999,1177968.825987,7780,1974201.22,567555.381891,0,
1554422400000,0.2828,0.3136,0.2821,0.3064,4523231.15,1554508799999,1353332.080927,8046,2250473.01,672560.632032,0,
1554508800000,0.3065,0.3136,0.2959,0.3032,3067028.08,1554595199999,928229.443373,6056,1376481.62,416721.165251,0,
1554595200000,0.3032,0.3088,0.2934,0.2992,1984740.5,1554681599999,598143.997291,5355,912174.75,275861.300183,0,
1554681600000,0.2999,0.305,0.2845,0.2925,1899492.25,1554767999999,559608.214806,4791,869634.39,257072.46839,0,
1554768000000,0.2917,0.2928,0.2812,0.2872,1506492.82,1554854399999,430038.778032,3046,799275.02,228204.504935,0,
1554854400000,0.2879,0.2999,0.2847,0.292,2409974.97,1554940799999,703697.727296,4744,1168152.5,341517.997093,0,
1554940800000,0.293,0.2941,0.256,0.268,3518535.91,1555027199999,951933.677334,6571,1564574.86,426040.68084,0,
1555027200000,0.268,0.2889,0.257,0.2868,2068062.17,1555113599999,570462.859242,4526,1041810.59,289461.065259,0,
