unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1580947200000,0.03155,0.08918,0.03097,0.03227,4306221.0,1581033599999,139558.671407,990,1629556.4,52363.881912,0,
1581033600000,0.03211,0.03278,0.03101,0.03223,3572393.5,1581119999999,113750.88361,1070,1952835.7,62139.682461,0,
1581120000000,0.032,0.03267,0.02933,0.03129,1969773.0,1581206399999,61716.967303,848,774500.4,24411.67373,0,
1581206400000,0.03139,0.03945,0.03139,0.0362,11220634.7,1581292799999,396404.0551,4073,4339982.7,153263.963121,0,
1581292800000,0.03642,0.03727,0.03299,0.03438,5603569.6,1581379199999,194795.796736,1768,2722706.2,94174.330062,0,
1581379200000,0.03438,0.0369,0.033,0.03653,3241567.9,1581465599999,112372.784411,1438,1314325.7,46024.728893,0,
1581465600000,0.03666,0.03716,0.03524,0.03574,3826345.8,1581551999999,138212.741232,1111,1625909.3,58734.623429,0,
1581552000000,0.03574,0.04234,0.03509,0.03954,11944726.5,1581638399999,462285.298909,3925,5377795.3,208075.300577,0,
1581638400000,0.03903,0.0409,0.03795,0.03995,5043942.2,1581724799999,197023.124431,1708,2402445.3,94173.210685,0,
1581724800000,0.03997,0.04,0.03266,0.03458,5782284.4,1581811199999,211779.610496,2499,2376069.5,87252.567589,0,
1581811200000,0.03458,0.03688,0.03004,0.03308,4097587.5,1581897599999,137736.440766,1648,1944843.5,65596.881485,0,
1581897600000,0.03309,0.03368,0.02943,0.03268,3766417.3,1581983999999,117158.909469,1593,2376287.5,73589.217279,0,
1581984000000,0.03298,0.03395,0.03136,0.0336,1875113.4,1582070399999,61466.178522,944,1042985.5,34236.835142,0,
1582070400000,0.0336,0.03395,0.03045,0.03099,1382224.8,1582156799999,45545.025552,684,718088.1,23646.915597,0,
1582156800000,0.03096,0.03158,0.03,0.03095,915034.7,1582243199999,28250.636338,318,389722.6,12056.348588,0,
1582243200000,0.031,0.03273,0.031,0.03187,1209723.5,1582329599999,38568.598242,558,616582.2,19688.913052,0,
1582329600000,0.03155,0.03228,0.03101,0.03173,1065391.7,1582415999999,33455.670243,383,572706.4,17971.042257,0,
1582416000000,0.03158,0.03313,0.03158,0.03248,1080630.4,1582502399999,35169.131963,458,632459.1,20597.013498,0,
1582502400000,0.03278,0.03297,0.03069,0.03131,1270807.3,1582588799999,40376.25993,543,446165.7,14187.016411,0,
1582588800000,0.03115,0.03121,0.02843,0.02877,1041434.8,1582675199999,30754.886458,510,381020.0,11374.279745,0,
1582675200000,0.02884,0.02894,0.02227,0.02423,6387223.6,1582761599999,160202.241175,1743,3366207.5,84547.905214,0,
1582761600000,0.02375,0.02589,0.02235,0.02478,2091722.0,1582847999999,50782.261922,722,860132.7,20904.183873,0,
1582848000000,0.02474,0.02548,0.02309,0.02416,918351.0,1582934399999,22246.432327,353,563738.3,13706.877044,0,
1582934400000,0.02433,0.02565,0.02408,0.02411,1051439.7,1583020799999,26101.222601,330,541596.4,13491.983237,0,
1583020800000,0.02427,0.02502,0.02393,0.02424,695269.4,1583107199999,16980.837633,222,463497.4,11332.881447,0,
1583107200000,0.02423,0.0267,0.02423,0.02568,1127775.9,1583193599999,28510.897344,629,710603.2,18029.88696,0,
