unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1564790400000,0.03268000,0.03600000,0.02220000,0.02226000,81829347.20000000,1564876799999,2136698.55831500,6097,38425486.60000000,1007136.73502000,0
1564876800000,0.02226000,0.02350000,0.02052000,0.02070000,17506683.80000000,1564963199999,382556.07087900,2316,6221013.90000000,136597.64146200,0
1564963200000,0.02070000,0.02179000,0.01721000,0.01757000,24934922.10000000,1565049599999,486301.83523000,2956,8730246.00000000,173353.53577200,0
1565049600000,0.01757000,0.02200000,0.01755000,0.01930000,34213627.20000000,1565135999999,674268.22661200,3889,15944847.90000000,317788.78659600,0
1565136000000,0.01930000,0.04230000,0.01930000,0.03719000,125213689.70000000,1565222399999,3619822.02430500,13435,56377538.70000000,1649483.82587300,0
1565222400000,0.03761000,0.05368000,0.02777000,0.02801000,397252506.60000000,1565308799999,15069562.37587900,46699,177870634.90000000,6725788.71002200,0
1565308800000,0.02815000,0.03180000,0.02230000,0.02279000,111887841.40000000,1565395199999,3087102.67617000,11571,42920058.30000000,1195096.82828300,0
1565395200000,0.02284000,0.02777000,0.02210000,0.02677000,59388249.90000000,1565481599999,1465786.18347800,6210,24556800.10000000,611891.67635300,0
1565481600000,0.02681000,0.02850000,0.02458000,0.02499000,53491515.20000000,1565567999999,1419283.99788300,6708,22987439.00000000,612356.62701200,0
1565568000000,0.02499000,0.03250000,0.02473000,0.03028000,89568475.40000000,1565654399999,2662322.64089200,10384,44320000.80000000,1317591.78219400,0
1565654400000,0.03030000,0.03333000,0.02868000,0.03066000,83573438.30000000,1565740799999,2631983.36674600,9765,39736412.20000000,1255217.62240000,0
1565740800000,0.03080000,0.03198000,0.02536000,0.02600000,56372966.40000000,1565827199999,1630886.89573800,7563,23926508.90000000,694200.33554800,0
1565827200000,0.02600000,0.03620000,0.02577000,0.03413000,142824745.00000000,1565913599999,4713605.06560800,14200,68674680.70000000,2275271.78314600,0
1565913600000,0.03421000,0.03997000,0.02999000,0.03288000,165153606.90000000,1565999999999,5729719.10011700,21709,75863913.50000000,2646077.33251000,0
1566000000000,0.03300000,0.03841000,0.03226000,0.03515000,117048955.80000000,1566086399999,4192148.88010000,18928,57453605.10000000,2067038.78062900,0
1566086400000,0.03515000,0.03547000,0.03000000,0.03067000,70615094.20000000,1566172799999,2302879.77231400,12259,26374153.10000000,863752.99582200,0
1566172800000,0.03068000,0.03502000,0.03004000,0.03334000,72590642.00000000,1566259199999,2384993.89853500,10583,31756609.70000000,1048807.20151900,0
1566259200000,0.03335000,0.03707000,0.03243000,0.03486000,94590522.10000000,1566345599999,3291374.40199700,14252,45468549.30000000,1587223.48619600,0
1566345600000,0.03486000,0.03521000,0.02801000,0.02908000,63879268.30000000,1566431999999,1992957.27491000,8293,24511562.10000000,766620.12515500,0
1566432000000,0.02908000,0.03014000,0.02672000,0.02964000,33175677.30000000,1566518399999,948995.55635000,5572,15454365.60000000,442654.85155700,0
1566518400000,0.02941000,0.03100000,0.02814000,0.02881000,13287434.80000000,1566604799999,395341.87876000,3686,5954978.70000000,178151.68866700,0
1566604800000,0.02861000,0.02944000,0.02631000,0.02811000,17057596.70000000,1566691199999,468652.79252200,3418,6820486.80000000,187440.28509600,0
1566691200000,0.02812000,0.02985000,0.02659000,0.02701000,16766942.10000000,1566777599999,474175.96846000,3871,7095492.90000000,201660.06592700,0
1566777600000,0.02716000,0.02749000,0.02471000,0.02490000,15124257.40000000,1566863999999,391282.51559300,2831,4540754.20000000,118377.39805200,0
1566864000000,0.02490000,0.02520000,0.02331000,0.02374000,17458822.80000000,1566950399999,421661.36868900,2621,6908921.80000000,167065.02839700,0
1566950400000,0.02375000,0.02828000,0.02279000,0.02464000,47110392.70000000,1567036799999,1218951.31485200,5964,21251003.90000000,553683.84423700,0
