unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1579132800000,0.00372400,0.00546000,0.00367800,0.00414900,561680733.00000000,1579219199999,2519515.77493100,13342,251437301.00000000,1134306.90141100,0
1579219200000,0.00414900,0.00452400,0.00301100,0.00321700,282987187.00000000,1579305599999,1026959.15767300,7866,101906916.00000000,371112.81088900,0
1579305600000,0.00320900,0.00336600,0.00285000,0.00288100,113198796.00000000,1579391999999,347499.63768200,2529,35075223.00000000,109058.36964400,0
1579392000000,0.00288100,0.00299900,0.00250600,0.00254600,100021821.00000000,1579478399999,270434.35987000,2122,37231768.00000000,100798.95038900,0
1579478400000,0.00254500,0.00263900,0.00241500,0.00246700,37650896.00000000,1579564799999,94185.45175700,951,15372156.00000000,38568.94646400,0
1579564800000,0.00246800,0.00253800,0.00233000,0.00244500,64801378.00000000,1579651199999,158457.81946600,1356,19484723.00000000,47808.13718500,0
1579651200000,0.00244400,0.00262700,0.00241700,0.00244000,50893691.00000000,1579737599999,127490.18746400,941,23047215.00000000,57802.09418700,0
1579737600000,0.00244100,0.00250800,0.00217000,0.00222100,27372718.00000000,1579823999999,64016.23093900,759,9729808.00000000,22967.67147300,0
1579824000000,0.00220200,0.00229100,0.00207800,0.00221000,31223572.00000000,1579910399999,68376.84320600,927,10271068.00000000,22795.74477200,0
1579910400000,0.00221000,0.00221000,0.00213800,0.00218900,14513262.00000000,1579996799999,31454.69323200,268,8064718.00000000,17521.76624200,0
1579996800000,0.00217900,0.00226000,0.00214500,0.00217400,14469225.00000000,1580083199999,31771.79136000,278,6609182.00000000,14562.79095500,0
1580083200000,0.00218000,0.00222400,0.00200800,0.00202700,31299781.00000000,1580169599999,66826.91861700,481,7890824.00000000,16893.00834300,0
1580169600000,0.00200900,0.00207900,0.00100000,0.00194000,98179348.00000000,1580255999999,188480.19818600,1612,34804324.00000000,69437.54234000,0
1580256000000,0.00193000,0.00204800,0.00188000,0.00192200,27996609.00000000,1580342399999,53945.12372400,579,9646749.00000000,18761.72757200,0
1580342400000,0.00190200,0.00194900,0.00185700,0.00188000,22213329.00000000,1580428799999,41814.38500800,559,12191679.00000000,22984.41306600,0
1580428800000,0.00188000,0.00210000,0.00186200,0.00198600,82922340.00000000,1580515199999,162916.25328500,1038,30515941.00000000,59824.63685000,0
1580515200000,0.00198400,0.00204100,0.00191900,0.00197000,31519854.00000000,1580601599999,62244.39337100,484,14330137.00000000,28326.96987800,0
1580601600000,0.00197100,0.00198800,0.00188900,0.00190800,46856563.00000000,1580687999999,91516.14927600,831,29307209.00000000,57444.50800300,0
1580688000000,0.00192500,0.00198000,0.00186800,0.00192700,23403877.00000000,1580774399999,44767.98752500,673,8730809.00000000,16806.75437700,0
1580774400000,0.00192300,0.00195900,0.00186500,0.00194100,20211355.00000000,1580860799999,38820.21425800,468,8658541.00000000,16694.94329900,0
1580860800000,0.00192900,0.00206600,0.00188000,0.00195300,68392174.00000000,1580947199999,133774.18825300,1321,28112435.00000000,55042.87172500,0
1580947200000,0.00195300,0.00249800,0.00191700,0.00234300,135532012.00000000,1581033599999,293926.27469200,2897,68681517.00000000,147452.13035500,0
1581033600000,0.00232300,0.00277800,0.00215900,0.00227500,289722599.00000000,1581119999999,709567.36822000,5498,127532609.00000000,310042.62042700,0
1581120000000,0.00227500,0.00235200,0.00219300,0.00229500,81975651.00000000,1581206399999,186654.39733100,2013,41461392.00000000,94644.37766400,0
1581206400000,0.00229500,0.00245500,0.00220300,0.00234400,82458866.00000000,1581292799999,190382.19099300,1961,38867720.00000000,89853.15196500,0
1581292800000,0.00234000,0.00236600,0.00210800,0.00222500,64597469.00000000,1581379199999,144449.68662200,1554,27040654.00000000,60160.42667900,0
1581379200000,0.00222500,0.00259300,0.00218800,0.00232800,188184701.00000000,1581465599999,444382.79568300,2701,85844435.00000000,201296.95425800,0
1581465600000,0.00233800,0.00276800,0.00232700,0.00259200,178401620.00000000,1581551999999,460113.17780700,4015,78521516.00000000,202460.19241900,0
1581552000000,0.00259800,0.00280800,0.00233900,0.00246100,152737482.00000000,1581638399999,387027.78555300,3122,64229821.00000000,162723.20098300,0
1581638400000,0.00244700,0.00270300,0.00237100,0.00262700,98639774.00000000,1581724799999,248328.18587600,2775,53568064.00000000,134406.63422200,0
1581724800000,0.00261400,0.00280000,0.00227600,0.00240000,211842934.00000000,1581811199999,550065.59888200,3656,82170097.00000000,213282.94349100,0
1581811200000,0.00238200,0.00269700,0.00226000,0.00248700,672375324.00000000,1581897599999,1636891.58817300,3767,618119657.00000000,1503627.68800800,0
1581897600000,0.00246700,0.00305700,0.00235000,0.00247000,338381581.00000000,1581983999999,900781.31712100,7556,161977299.00000000,432879.42571400,0
1581984000000,0.00245600,0.00288900,0.00244800,0.00282600,146250588.00000000,1582070399999,391960.64788800,3451,65615058.00000000,175250.07643900,0
1582070400000,0.00284700,0.00286400,0.00232000,0.00232500,104155691.00000000,1582156799999,271861.14837900,1578,45163846.00000000,117157.87960100,0
1582156800000,0.00233700,0.00241900,0.00224300,0.00233500,57970472.00000000,1582243199999,135229.79323900,1246,27300338.00000000,63921.32933300,0
1582243200000,0.00229900,0.00246600,0.00229900,0.00232300,43157481.00000000,1582329599999,103923.16756200,681,16253386.00000000,39088.58207700,0
1582329600000,0.00232600,0.00240000,0.00229600,0.00233000,12782506.00000000,1582415999999,29744.99691600,231,4942984.00000000,11550.79117400,0
1582416000000,0.00233300,0.00260000,0.00231500,0.00256700,35087035.00000000,1582502399999,85165.26586700,637,19667070.00000000,47659.65823600,0
1582502400000,0.00256800,0.00270000,0.00232500,0.00254000,53895423.00000000,1582588799999,134777.87452600,1239,25616667.00000000,64577.14533100,0
1582588800000,0.00254000,0.00254000,0.00211200,0.00217700,61355502.00000000,1582675199999,141984.00173200,997,24942863.00000000,57583.58953300,0
1582675200000,0.00217700,0.00218200,0.00171000,0.00191300,57933610.00000000,1582761599999,111580.57277900,895,19961956.00000000,38986.66705000,0
1582761600000,0.00186900,0.00208700,0.00179000,0.00204300,19372976.00000000,1582847999999,38088.72716400,632,12581378.00000000,24887.24633600,0
1582848000000,0.00204400,0.00214100,0.00190000,0.00210600,20785114.00000000,1582934399999,41887.51583500,467,8388461.00000000,17010.44757000,0
1582934400000,0.00213700,0.00216700,0.00197900,0.00201800,9899551.00000000,1583020799999,20276.26610400,233,2749764.00000000,5580.22622200,0
1583020800000,0.00199300,0.00211000,0.00195200,0.00196900,17372355.00000000,1583107199999,34957.18397600,303,9687076.00000000,19589.94908100,0
1583107200000,0.00199200,0.00230600,0.00197500,0.00225400,17277324.00000000,1583193599999,37209.98339000,452,11277879.00000000,24323.07980100,0
1583193600000,0.00226100,0.00227400,0.00215000,0.00220000,19391875.00000000,1583279999999,42696.80027400,317,8229650.00000000,18182.99925700,0
1583280000000,0.00220000,0.00240100,0.00220000,0.00228200,28702588.00000000,1583366399999,66375.50460000,594,13403726.00000000,31054.17739800,0
1583366400000,0.00230000,0.00270000,0.00228700,0.00257900,46989591.00000000,1583452799999,115722.75113300,1096,27340097.00000000,67509.68558300,0
1583452800000,0.00257900,0.00275200,0.00249100,0.00270600,43202353.00000000,1583539199999,113712.25823200,964,21483527.00000000,56383.71841000,0
1583539200000,0.00271400,0.00339000,0.00235000,0.00243900,568562222.00000000,1583625599999,1648193.39950600,6734,240542190.00000000,694561.99520600,0
1583625600000,0.00243300,0.00246700,0.00200000,0.00202700,151569879.00000000,1583711999999,342571.41946700,2394,64854820.00000000,148190.87616300,0
1583712000000,0.00202800,0.00211300,0.00180000,0.00191300,54601255.00000000,1583798399999,107479.19154400,1004,21251755.00000000,41963.21927700,0
1583798400000,0.00191300,0.00212300,0.00184000,0.00200700,38174056.00000000,1583884799999,75269.88448600,817,13770172.00000000,27143.17881900,0
1583884800000,0.00199200,0.00206700,0.00181100,0.00189500,35552750.00000000,1583971199999,68672.56839100,612,17508339.00000000,33860.67261200,0
1583971200000,0.00191500,0.00191500,0.00035000,0.00089900,106600691.00000000,1584057599999,139967.13143900,1520,41700112.00000000,55268.88574500,0
1584057600000,0.00089500,0.00118600,0.00065000,0.00115800,62250617.00000000,1584143999999,60911.74671500,675,24318769.00000000,24157.55029200,0
1584144000000,0.00110900,0.00120500,0.00105000,0.00111000,15679979.00000000,1584230399999,17424.76673000,321,6808169.00000000,7621.59326200,0
1584230400000,0.00113400,0.00124200,0.00108500,0.00117800,29249749.00000000,1584316799999,33790.62327600,403,13323308.00000000,15526.46942600,0
1584316800000,0.00118000,0.00118000,0.00081700,0.00096300,44530837.00000000,1584403199999,41181.41144200,442,19787720.00000000,17994.38033000,0
1584403200000,0.00096300,0.00112400,0.00095100,0.00106900,11673915.00000000,1584489599999,12395.14348500,146,6041461.00000000,6411.16830800,0
1584489600000,0.00105500,0.00120000,0.00091500,0.00105300,55771056.00000000,1584575999999,58449.00543500,581,19055855.00000000,19932.86366200,0
1584576000000,0.00105500,0.00123700,0.00105200,0.00122300,99173034.00000000,1584662399999,111145.30897500,680,53715884.00000000,60360.63005000,0
1584662400000,0.00118500,0.00133200,0.00101900,0.00110900,92002280.00000000,1584748799999,106974.83701700,941,48663140.00000000,56313.36404400,0
1584748800000,0.00107400,0.00120000,0.00104800,0.00111400,39771825.00000000,1584835199999,44304.18289100,476,19631480.00000000,22053.20291400,0
1584835200000,0.00111400,0.00117200,0.00094700,0.00098500,23351639.00000000,1584921599999,25030.36176200,348,12809789.00000000,13757.51162700,0
1584921600000,0.00097400,0.00122000,0.00096800,0.00121200,34610471.00000000,1585007999999,37844.62309800,511,19148682.00000000,21309.72342600,0
1585008000000,0.00121300,0.00127800,0.00112600,0.00115200,25866337.00000000,1585094399999,31117.96963700,342,8785813.00000000,10624.04052600,0
1585094400000,0.00115000,0.00122800,0.00110000,0.00115600,30639478.00000000,1585180799999,35131.21321500,277,8690560.00000000,10034.66801900,0
1585180800000,0.00117900,0.00128900,0.00112500,0.00117200,26604389.00000000,1585267199999,31421.70337700,251,14996833.00000000,17810.98453200,0
1585267200000,0.00118500,0.00127000,0.00108800,0.00108800,17636044.00000000,1585353599999,20955.29590500,211,7132123.00000000,8646.40278100,0
1585353600000,0.00107700,0.00111200,0.00103000,0.00111200,25079502.00000000,1585439999999,26623.91324000,210,10422828.00000000,11121.68471900,0
1585440000000,0.00109600,0.00109600,0.00097900,0.00097900,8204461.00000000,1585526399999,8515.12415900,210,3250583.00000000,3379.55774800,0
1585526400000,0.00099000,0.00113800,0.00099000,0.00110800,9903029.00000000,1585612799999,10717.32575700,233,3447687.00000000,3727.37580000,0
1585612800000,0.00110800,0.00112400,0.00107500,0.00109800,8946723.00000000,1585699199999,9787.33540400,191,2936141.00000000,3218.26691000,0
1585699200000,0.00109300,0.00112300,0.00106100,0.00110500,7517095.00000000,1585785599999,8190.91280900,193,3567521.00000000,3913.52808600,0
1585785600000,0.00112200,0.00116800,0.00109400,0.00112400,21376030.00000000,1585871999999,24354.18418000,312,6854255.00000000,7803.41385600,0
1585872000000,0.00113200,0.00131700,0.00113000,0.00119100,79986298.00000000,1585958399999,96845.25424800,828,38317278.00000000,46223.74935100,0
1585958400000,0.00119100,0.00127500,0.00116300,0.00119800,10505212.00000000,1586044799999,12671.20061900,259,6638493.00000000,8014.25625700,0
1586044800000,0.00119100,0.00122600,0.00113500,0.00116800,10309427.00000000,1586131199999,12098.47376900,156,3925692.00000000,4665.47333500,0
1586131200000,0.00116600,0.00139100,0.00116000,0.00136300,57472684.00000000,1586217599999,74570.54600100,805,28140713.00000000,36484.96857300,0
1586217600000,0.00136600,0.00139400,0.00127000,0.00130800,63374164.00000000,1586303999999,84077.01144500,609,28546765.00000000,37892.17430700,0
1586304000000,0.00130800,0.00138300,0.00128200,0.00137200,11252404.00000000,1586390399999,14929.58153600,312,5492301.00000000,7321.43173700,0
1586390400000,0.00137800,0.00137800,0.00129000,0.00129000,25297647.00000000,1586476799999,33268.58950600,286,8648499.00000000,11377.49224700,0
1586476800000,0.00130500,0.00130500,0.00116200,0.00118700,22017714.00000000,1586563199999,26408.64309000,273,9923457.00000000,11990.82939200,0
1586563200000,0.00117400,0.00119000,0.00115200,0.00117400,13983627.00000000,1586649599999,16402.90998500,99,5147831.00000000,6069.64486700,0
1586649600000,0.00117400,0.00125100,0.00114100,0.00121100,11239803.00000000,1586735999999,13513.37744700,148,5919889.00000000,7123.07500000,0
1586736000000,0.00120300,0.00120300,0.00110200,0.00116300,10486081.00000000,1586822399999,11993.21404900,285,4591374.00000000,5227.01468500,0
1586822400000,0.00116300,0.00118300,0.00113300,0.00116700,10557454.00000000,1586908799999,12226.10937000,147,4222251.00000000,4935.46259500,0
1586908800000,0.00116200,0.00118700,0.00112600,0.00112600,16284871.00000000,1586995199999,18767.08869900,123,2634911.00000000,3042.36905500,0
1586995200000,0.00112600,0.00118100,0.00107600,0.00113300,19529650.00000000,1587081599999,22203.94588200,234,7565365.00000000,8602.58242000,0
1587081600000,0.00113300,0.00118200,0.00113000,0.00118200,9469441.00000000,1587167999999,10891.45380300,144,4838583.00000000,5599.38135500,0
1587168000000,0.00116700,0.00132600,0.00115800,0.00128500,22631353.00000000,1587254399999,28273.99084900,382,10900401.00000000,13685.54304600,0
1587254400000,0.00130500,0.00133100,0.00125600,0.00128300,44283970.00000000,1587340799999,56847.96709500,328,19660673.00000000,25299.80236100,0
1587340800000,0.00129700,0.00131700,0.00114500,0.00116300,63641449.00000000,1587427199999,75374.32349000,416,33311899.00000000,39214.04727200,0
1587427200000,0.00116300,0.00119000,0.00115100,0.00118000,19297274.00000000,1587513599999,22465.45512500,182,8679800.00000000,10174.31469400,0
1587513600000,0.00116600,0.00155000,0.00116300,0.00125800,126975330.00000000,1587599999999,164235.88654200,1039,58519388.00000000,75852.30137100,0
1587600000000,0.00125300,0.00131400,0.00120800,0.00125200,78313272.00000000,1587686399999,98756.09430900,408,24596172.00000000,30883.21790900,0
1587686400000,0.00123900,0.00129600,0.00123000,0.00128400,33378653.00000000,1587772799999,42056.14014400,321,16836145.00000000,21294.93196000,0
1587772800000,0.00127500,0.00130600,0.00127500,0.00130600,10234452.00000000,1587859199999,13242.51141200,150,6204285.00000000,8051.74131500,0
1587859200000,0.00130800,0.00136500,0.00128600,0.00130400,34664597.00000000,1587945599999,45334.29626500,415,11614437.00000000,15245.49000900,0
1587945600000,0.00130400,0.00133100,0.00125900,0.00128900,45005797.00000000,1588031999999,58145.90739100,565,17622598.00000000,22860.29583200,0
1588032000000,0.00128100,0.00131900,0.00126000,0.00129800,21056854.00000000,1588118399999,27259.53970700,264,9204818.00000000,11940.14810000,0
1588118400000,0.00128800,0.00150000,0.00127200,0.00140400,87595354.00000000,1588204799999,121906.58367900,928,42831516.00000000,59229.14574700,0
1588204800000,0.00140400,0.00153100,0.00138300,0.00144200,60764701.00000000,1588291199999,88665.72292700,865,37269704.00000000,54238.15254900,0
1588291200000,0.00144200,0.00152300,0.00144000,0.00146100,18361905.00000000,1588377599999,27136.99084400,326,7216641.00000000,10728.04356400,0
1588377600000,0.00145900,0.00147600,0.00137800,0.00144000,66754666.00000000,1588463999999,94554.49613000,545,31520990.00000000,44663.61823800,0
1588464000000,0.00144100,0.00148600,0.00139500,0.00144000,30323370.00000000,1588550399999,43715.10581200,297,15673940.00000000,22712.08403800,0
1588550400000,0.00144000,0.00144400,0.00137300,0.00142000,11233733.00000000,1588636799999,15810.93503300,187,3139244.00000000,4442.06398000,0
1588636800000,0.00143800,0.00146500,0.00139800,0.00139800,35565334.00000000,1588723199999,50903.10047900,324,13406091.00000000,19310.01247600,0
1588723200000,0.00139800,0.00154900,0.00139800,0.00150500,54478109.00000000,1588809599999,80099.49409100,653,29694820.00000000,43500.23374400,0
1588809600000,0.00150500,0.00177700,0.00147700,0.00171200,126582276.00000000,1588895999999,206890.65204100,1778,56023096.00000000,91755.96133100,0
1588896000000,0.00170000,0.00190400,0.00164000,0.00164400,138133520.00000000,1588982399999,239223.27020600,1707,75967417.00000000,132248.45497200,0
1588982400000,0.00164500,0.00172600,0.00163400,0.00165100,30140248.00000000,1589068799999,50358.52044000,483,15512601.00000000,26040.60858400,0
1589068800000,0.00165100,0.00165100,0.00136600,0.00154000,55860197.00000000,1589155199999,81822.16409000,798,25769803.00000000,37788.21354800,0
1589155200000,0.00154000,0.00154000,0.00139500,0.00148600,21008408.00000000,1589241599999,30553.65940900,287,11190205.00000000,16329.83927600,0
1589241600000,0.00148600,0.00175800,0.00147100,0.00172600,25098053.00000000,1589327999999,41151.39011600,489,13306467.00000000,21975.33155800,0
