unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1631059200000,0.7835,0.8461,0.77,0.816,16992240.7,1631145599999,13703595.52751,41198,10033881.7,8103168.01255,0,
1631145600000,0.816,1.03,0.775,0.8958,14070365.3,1631231999999,12681336.52007,33926,6895668.7,6188849.65717,0,
1631232000000,0.8958,0.99,0.7874,0.818,11342291.4,1631318399999,10240644.76509,31647,5648513.9,5104671.86064,0,
1631318400000,0.8196,0.89,0.7743,0.8033,3958208.3,1631404799999,3275419.3112,10642,1874737.6,1557236.09485,0,
1631404800000,0.8033,0.8384,0.776,0.8109,3727773.7,1631491199999,2976820.06208,11574,1877571.2,1503266.79593,0,
1631491200000,0.8136,0.83,0.6803,0.7213,4160181.0,1631577599999,3028029.99606,10755,2025433.3,1474875.11254,0,
1631577600000,0.7204,0.7328,0.6877,0.7194,2108609.2,1631663999999,1499667.50461,7336,1056180.4,751368.71521,0,
1631664000000,0.7189,0.7937,0.7114,0.7529,9434238.5,1631750399999,7080208.43817,25682,4775633.5,3584764.85419,0,
1631750400000,0.753,0.82,0.7093,0.7745,34068171.9,1631836799999,25868977.28106,114526,17130457.1,13013111.60626,0,
1631836800000,0.7746,1.38,0.7556,1.0007,179633209.5,1631923199999,194706658.32028,628578,87248067.1,94679125.02528,0,
1631923200000,1.0007,1.068,0.8918,0.9216,32215836.2,1632009599999,31327797.68269,151483,15280798.4,14909014.05904,0,
1632009600000,0.9209,0.9308,0.8333,0.8465,9530384.5,1632095999999,8424643.49123,49952,4469142.5,3952420.60143,0,
1632096000000,0.8465,1.075,0.7601,0.8578,47589454.0,1632182399999,43190366.67108,170949,23998154.4,21758558.02238,0,
1632182400000,0.8575,0.93,0.7257,0.7484,15510095.3,1632268799999,12926442.95812,78569,7946091.1,6627342.79782,0,
1632268800000,0.7488,0.8499,0.7299,0.8384,6644456.4,1632355199999,5291788.56111,35916,3279846.8,2614271.5018,0,
1632355200000,0.84,0.85,0.75,0.7878,13604396.3,1632441599999,10682494.02361,46104,5246713.1,4140846.07302,0,
1632441600000,0.7886,0.7889,0.6666,0.7123,7391738.8,1632527999999,5371134.00085,24529,3390159.3,2450112.74469,0,
1632528000000,0.7107,0.7188,0.658,0.6732,3216947.2,1632614399999,2206686.71286,12073,1570251.9,1075275.05153,0,
1632614400000,0.6737,0.6739,0.595,0.643,3001980.2,1632700799999,1919356.01482,10929,1301799.1,834177.40025,0,
1632700800000,0.6449,0.6777,0.6112,0.6178,3697792.7,1632787199999,2385984.35523,11662,1661957.6,1070031.47143,0,
1632787200000,0.6178,0.632,0.5621,0.5644,3476548.3,1632873599999,2059645.77627,10833,1556447.6,921873.65919,0,
1632873600000,0.5653,0.6012,0.551,0.5671,2755171.4,1632959999999,1574924.257,8530,1352638.9,773190.45336,0,
1632960000000,0.5661,0.6935,0.5579,0.6343,20430572.3,1633046399999,12826334.19723,48137,9991565.7,6273389.52265,0,
1633046400000,0.634,0.6761,0.627,0.6751,8464957.3,1633132799999,5516594.61595,19329,4633972.6,3019336.80025,0,
1633132800000,0.6747,0.6828,0.6437,0.6663,5599155.0,1633219199999,3705521.56829,14870,2866266.6,1897407.69904,0,
1633219200000,0.666,0.676,0.6424,0.6652,3011106.7,1633305599999,1992412.76227,8904,1627681.4,1077318.73087,0,
1633305600000,0.6654,0.7198,0.651,0.6827,9269958.1,1633391999999,6289404.65856,22359,5069732.7,3443847.91627,0,
1633392000000,0.6836,0.6936,0.652,0.682,4641450.7,1633478399999,3116536.41802,10982,2362634.4,1587318.64012,0,
1633478400000,0.6832,0.75,0.653,0.72,11059726.4,1633564799999,7782404.88134,29762,5792860.8,4075458.02027,0,
1633564800000,0.7222,0.7222,0.6775,0.6926,4174551.4,1633651199999,2880498.28091,11439,2020013.9,1393351.59513,0,
1633651200000,0.6907,0.739,0.6635,0.7095,6804189.8,1633737599999,4726698.50843,16446,3815362.8,2651591.00904,0,
1633737600000,0.7079,0.7096,0.6677,0.6804,3075725.3,1633823999999,2111681.02908,9185,1690093.8,1160479.33212,0,
1633824000000,0.6804,0.6865,0.6503,0.6546,2168030.2,1633910399999,1446561.87047,6424,1125309.7,752172.3771,0,
1633910400000,0.6534,0.7382,0.6366,0.7059,9035459.3,1633996799999,6251313.50283,22216,4764132.0,3288063.24385,0,
1633996800000,0.7067,0.7068,0.6374,0.6563,4522994.8,1634083199999,3000325.11737,13419,2189353.6,1451399.53616,0,
1634083200000,0.6574,0.6679,0.639,0.6646,1199099.8,1634169599999,782495.90011,4514,655991.3,428708.26772,0,
1634169600000,0.665,0.6729,0.6527,0.6614,1977834.3,1634255999999,1311115.45331,5165,1045335.8,693561.35493,0,
1634256000000,0.6614,0.6678,0.5952,0.6152,4987942.7,1634342399999,3112202.2382,15919,1988780.4,1242997.58083,0,
1634342400000,0.6152,0.6232,0.5996,0.6076,3709989.3,1634428799999,2275734.8304,11720,1256610.2,770554.68092,0,
1634428800000,0.6076,0.628,0.5781,0.5964,4680733.3,1634515199999,2853394.32381,12943,2175324.4,1326836.33618,0,
1634515200000,0.5975,0.6,0.5697,0.58,2910291.9,1634601599999,1692816.26666,8317,1362806.5,790913.27823,0,
1634601600000,0.58,0.6095,0.5611,0.587,3148732.7,1634687999999,1850342.36633,9856,1529667.8,899655.73436,0,
1634688000000,0.587,0.6042,0.5702,0.6011,2464935.3,1634774399999,1444392.67151,7674,1216159.0,713276.74003,0,
1634774400000,0.6011,0.6127,0.572,0.5847,2405063.6,1634860799999,1424509.61016,7929,1200046.5,711117.75045,0,
1634860800000,0.5853,0.5975,0.5751,0.5899,1608413.4,1634947199999,947087.31989,5040,721354.7,424535.58776,0,
1634947200000,0.5899,0.6099,0.5847,0.5923,1795282.4,1635033599999,1062718.77803,5116,944445.4,559414.27405,0,
1635033600000,0.5934,0.5937,0.5687,0.5837,1353047.2,1635119999999,784899.99158,4527,659497.4,383013.89975,0,
1635120000000,0.5834,0.5929,0.5772,0.5884,1876601.5,1635206399999,1098769.43241,5111,961264.5,563187.0316,0,
1635206400000,0.5884,0.6034,0.5787,0.5823,2733974.9,1635292799999,1614084.39463,6345,1332786.7,786581.77001,0,
1635292800000,0.5818,0.588,0.5016,0.5158,4033409.9,1635379199999,2166194.47299,9753,1867954.3,1000167.85183,0,
1635379200000,0.5151,0.5445,0.4977,0.5421,2890786.9,1635465599999,1522294.80263,6938,1656620.2,872855.72646,0,
1635465600000,0.5414,0.565,0.5382,0.5567,1856582.0,1635551999999,1024528.18525,5303,1023210.1,564812.75263,0,
1635552000000,0.5568,0.5947,0.5448,0.5667,3849854.7,1635638399999,2177191.67938,9438,1892975.4,1071073.18269,0,
1635638400000,0.5676,0.6212,0.5467,0.5809,11465102.3,1635724799999,6665992.35516,27625,6829402.2,3977819.98555,0,
1635724800000,0.5795,0.632,0.5704,0.6228,9409878.4,1635811199999,5658728.79968,27586,4931742.3,2969314.1013,0,
1635811200000,0.6232,0.6281,0.599,0.6201,3211460.3,1635897599999,1970999.86178,11084,1681728.6,1032703.13442,0,
1635897600000,0.6195,0.6198,0.5743,0.5881,2578103.2,1635983999999,1524115.28507,8408,1258628.1,743476.81441,0,
1635984000000,0.5881,0.6064,0.58,0.5926,3339325.6,1636070399999,1979080.64611,9929,1811579.2,1074173.48288,0,
1636070400000,0.5926,0.5926,0.5713,0.5766,1287235.1,1636156799999,747390.00868,3947,591964.2,344116.35655,0,
1636156800000,0.5764,0.5821,0.5602,0.5771,1015766.9,1636243199999,580571.81923,3636,471984.5,270066.47185,0,
1636243200000,0.5771,0.5806,0.5724,0.5806,949058.9,1636329599999,547286.58542,3177,445917.3,257266.14104,0,
1636329600000,0.5808,0.6036,0.54,0.5799,3003741.4,1636415999999,1740681.17939,7243,1530715.9,888685.51354,0,
1636416000000,0.5803,0.584,0.5685,0.5728,1937702.2,1636502399999,1115110.78129,6069,887121.8,510970.98091,0,
1636502400000,0.5726,0.5778,0.5293,0.5376,1844118.9,1636588799999,1028503.53081,6065,965092.4,536811.16929,0,
1636588800000,0.5376,0.5526,0.5312,0.5436,1462321.1,1636675199999,792564.45825,4547,764931.0,415025.04638,0,
1636675200000,0.5431,0.5439,0.521,0.5321,1060995.1,1636761599999,565141.69568,3319,539806.0,287775.10406,0,
1636761600000,0.533,0.5482,0.5303,0.5438,1211750.4,1636847999999,653220.06942,3918,635061.6,342974.23428,0,
1636848000000,0.5444,0.5543,0.5353,0.5525,1273377.6,1636934399999,694432.13589,4155,656423.0,358023.08308,0,
1636934400000,0.5535,0.6574,0.5462,0.5777,11951565.7,1637020799999,7135841.87853,23642,6012846.0,3587650.01074,0,
1637020800000,0.5776,0.5803,0.5017,0.5513,6947903.3,1637107199999,3800077.59325,12536,3703929.5,2026913.2628,0,
1637107200000,0.5513,0.5877,0.525,0.5789,6532396.8,1637193599999,3675071.20432,10404,3578589.5,2015308.69878,0,
1637193600000,0.5789,0.5829,0.4963,0.5043,3699856.9,1637279999999,2005941.17693,6927,1965765.7,1066803.35282,0,
1637280000000,0.504,0.526,0.4864,0.526,1946330.0,1637366399999,993793.29182,3592,1038332.7,531134.74712,0,
1637366400000,0.5263,0.5615,0.5196,0.5474,3180507.9,1637452799999,1718303.58502,6079,1577933.0,851402.34421,0,
1637452800000,0.5475,0.5542,0.5263,0.5364,1744382.1,1637539199999,938515.71631,3885,828450.5,447073.29064,0,
1637539200000,0.5359,0.5359,0.5079,0.5155,1981088.0,1637625599999,1032455.1264,3763,1005755.2,524063.17954,0,
1637625600000,0.5158,0.5265,0.5001,0.518,1877066.1,1637711999999,962387.91122,3522,922062.3,472478.91348,0,
1637712000000,0.5187,0.5248,0.4959,0.5046,1841792.3,1637798399999,934565.96472,4276,1079207.8,548480.9053,0,
1637798400000,0.5039,0.5293,0.4919,0.5282,2463326.0,1637884799999,1258100.49324,5326,1339942.9,685615.97929,0,
1637884800000,0.5282,0.651,0.5007,0.5529,33826123.4,1637971199999,19116060.83012,60050,16120744.3,9127710.80845,0,
1637971200000,0.5529,0.5768,0.5197,0.5337,10316612.4,1638057599999,5548173.20577,16206,5057168.7,2721533.71987,0,
1638057600000,0.5324,0.5933,0.5234,0.5603,13271331.4,1638143999999,7341246.72043,20402,7072174.4,3915118.17187,0,
1638144000000,0.5589,0.5611,0.5355,0.5537,2479563.4,1638230399999,1358696.76187,5800,1224246.5,671177.2418,0,
