unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1639094400000,21.45600000,24.38000000,18.78400000,19.57600000,248883.50000000,1639180799999,5291575.63910000,16752,127203.40000000,2697682.24930000,0
1639180800000,19.65700000,20.40000000,18.90000000,19.55000000,22034.00000000,1639267199999,431851.85550000,1799,11696.20000000,228946.67730000,0
1639267200000,19.54900000,19.57500000,17.60100000,18.54600000,54405.40000000,1639353599999,1002667.23660000,5504,21836.50000000,403447.24180000,0
1639353600000,18.54000000,18.73400000,17.50500000,17.57500000,28928.60000000,1639439999999,524724.64460000,2919,13099.00000000,237976.06650000,0
1639440000000,17.60100000,18.13500000,17.00200000,17.27500000,18780.10000000,1639526399999,327800.90110000,1232,8006.00000000,139922.67340000,0
1639526400000,17.19800000,17.51800000,16.48500000,16.91600000,12833.00000000,1639612799999,217793.37450000,1447,5645.10000000,95825.30050000,0
1639612800000,16.91800000,17.27800000,16.17600000,16.42600000,16177.90000000,1639699199999,270263.12880000,1496,6093.30000000,101955.32520000,0
1639699200000,16.42600000,17.45400000,15.12000000,15.37500000,24309.20000000,1639785599999,386016.40380000,1531,8834.70000000,141317.96670000,0
1639785600000,15.53700000,15.58800000,13.34800000,14.00100000,141253.20000000,1639871999999,1975216.95410000,9529,61048.60000000,850393.33720000,0
1639872000000,14.00100000,14.92300000,13.93900000,14.41400000,55647.00000000,1639958399999,797754.51640000,4228,22948.00000000,329306.39440000,0
1639958400000,14.40900000,14.77000000,13.75100000,13.95800000,59548.60000000,1640044799999,840846.69270000,3289,23879.40000000,337182.68170000,0
1640044800000,13.90500000,18.89000000,13.76300000,17.28900000,372908.00000000,1640131199999,6042450.86340000,21098,132554.10000000,2149252.52800000,0
1640131200000,17.29700000,18.92600000,17.03700000,18.01800000,286360.60000000,1640217599999,5128466.97330000,19412,128753.40000000,2310421.89300000,0
1640217600000,18.01600000,20.75000000,17.82900000,20.16200000,140041.30000000,1640303999999,2668326.02260000,8750,96141.90000000,1816380.10330000,0
1640304000000,20.17500000,22.95000000,20.00100000,21.20000000,98342.90000000,1640390399999,2117854.78530000,6602,59403.40000000,1275748.14170000,0
1640390400000,21.19800000,22.06100000,20.09200000,20.41300000,70944.80000000,1640476799999,1456506.68280000,3496,57682.80000000,1182360.01480000,0
1640476800000,20.41200000,20.74000000,19.99600000,20.50300000,35300.70000000,1640563199999,716250.33200000,2307,15850.60000000,322661.79780000,0
