unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1646956800000,6.21100000,9.67500000,6.21100000,6.52300000,6043741.84000000,1647043199999,45918759.93769000,151517,2776326.95000000,21216058.90043000,0
1647043200000,6.53000000,7.26800000,6.50000000,6.67400000,3225707.77000000,1647129599999,22227299.55684000,91713,1547923.38000000,10673047.89125000,0
1647129600000,6.66600000,6.83000000,6.19100000,6.22200000,1285223.07000000,1647215999999,8385315.96659000,38759,598498.87000000,3909718.09580000,0
1647216000000,6.22000000,6.85100000,6.18000000,6.36100000,1694265.62000000,1647302399999,10826509.98213000,40262,867998.03000000,5552881.62971000,0
1647302400000,6.36100000,6.45000000,5.88000000,6.00700000,1189370.49000000,1647388799999,7241289.54978000,28988,578950.26000000,3520665.41709000,0
1647388800000,6.00700000,6.38000000,5.98900000,6.32300000,1508755.88000000,1647475199999,9306503.25690000,34370,670979.03000000,4144594.38730000,0
1647475200000,6.32900000,6.42400000,6.12000000,6.17000000,1232109.22000000,1647561599999,7676568.80623000,27573,506282.61000000,3151311.32705000,0
1647561600000,6.17000000,6.40000000,5.99000000,6.29700000,1162741.01000000,1647647999999,7198705.25730000,34666,592665.24000000,3682831.73877000,0
1647648000000,6.29900000,6.40100000,6.19400000,6.29100000,1350450.07000000,1647734399999,8507407.76322000,30886,715697.94000000,4515063.84305000,0
1647734400000,6.28200000,6.31800000,5.93000000,6.09700000,823976.75000000,1647820799999,5062322.89717000,21666,363705.51000000,2235933.84293000,0
1647820800000,6.09700000,6.26200000,5.99400000,6.09100000,1087357.10000000,1647907199999,6629707.12154000,28580,538485.48000000,3284482.77795000,0
1647907200000,6.08100000,6.30000000,6.04000000,6.12200000,1366769.38000000,1647993599999,8449004.38197000,36197,645910.51000000,3993778.29637000,0
1647993600000,6.12300000,6.60000000,6.07100000,6.37500000,1738757.34000000,1648079999999,10902209.69673000,47029,860366.28000000,5404545.68572000,0
1648080000000,6.37500000,7.12000000,6.20300000,6.55600000,2865909.35000000,1648166399999,18770522.13592000,78522,1443293.33000000,9455880.48374000,0
1648166400000,6.55700000,7.30000000,6.41600000,6.81200000,4198593.01000000,1648252799999,28678799.31301000,115726,2068351.63000000,14148937.39169000,0
1648252800000,6.81300000,6.87000000,6.65900000,6.74900000,1159784.35000000,1648339199999,7828999.56720000,34569,553662.88000000,3740990.33695000,0
1648339200000,6.75400000,7.10000000,6.56300000,7.02200000,1612289.61000000,1648425599999,11017029.81580000,44539,841951.14000000,5768284.90676000,0
1648425600000,7.02200000,7.20000000,6.88400000,7.01700000,824209.38000000,1648511999999,5795505.93191000,25194,412182.46000000,2900305.21492000,0
