unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1566864000000,0.00180000,0.00182200,0.00159000,0.00163800,4300084.00000000,1566950399999,7146.10767400,131,1806833.00000000,3006.92100300,0
1566950400000,0.00159500,0.00168100,0.00145200,0.00149000,5465499.00000000,1567036799999,8591.77117200,157,3625832.00000000,5739.08433800,0
1567036800000,0.00147200,0.00156800,0.00137500,0.00142500,4362207.00000000,1567123199999,6188.45435100,242,1938775.00000000,2733.28896300,0
1567123200000,0.00147600,0.00147700,0.00139400,0.00146000,337686.00000000,1567209599999,482.81145200,42,221723.00000000,318.11663600,0
1567209600000,0.00140300,0.00155900,0.00139700,0.00144300,2185603.00000000,1567295999999,3121.16248700,85,560705.00000000,812.73709100,0
1567296000000,0.00142500,0.00146900,0.00140400,0.00146900,2990062.00000000,1567382399999,4299.67933500,66,1177106.00000000,1697.35466700,0
1567382400000,0.00143700,0.00149000,0.00139600,0.00142300,3369308.00000000,1567468799999,4842.16225800,111,1726974.00000000,2485.82265000,0
1567468800000,0.00145600,0.00149700,0.00139900,0.00141100,3157500.00000000,1567555199999,4524.74984800,164,1062918.00000000,1526.50377100,0
1567555200000,0.00142900,0.00148500,0.00137000,0.00139900,4144360.00000000,1567641599999,5841.57053900,238,1555307.00000000,2210.78200900,0
1567641600000,0.00139900,0.00148600,0.00135600,0.00140800,1855753.00000000,1567727999999,2581.31007800,120,563969.00000000,796.75077300,0
1567728000000,0.00140800,0.00143400,0.00130700,0.00140600,3316633.00000000,1567814399999,4550.61323500,176,971791.00000000,1348.13454500,0
1567814400000,0.00139800,0.00149300,0.00134200,0.00145000,1116789.00000000,1567900799999,1573.12993100,124,744768.00000000,1057.47930900,0
1567900800000,0.00145000,0.00145300,0.00136700,0.00143200,2382106.00000000,1567987199999,3355.59686600,135,736427.00000000,1049.33477400,0
1567987200000,0.00142900,0.00168000,0.00135100,0.00154700,19011869.00000000,1568073599999,28745.92935100,439,5311422.00000000,7897.22871000,0
1568073600000,0.00154600,0.00164900,0.00144500,0.00156900,10384169.00000000,1568159999999,15941.37786500,558,4339441.00000000,6759.52824100,0
1568160000000,0.00156100,0.00156700,0.00138600,0.00142800,9621330.00000000,1568246399999,13960.00861400,307,3668312.00000000,5308.10887600,0
1568246400000,0.00142800,0.00142800,0.00131500,0.00136000,5755891.00000000,1568332799999,7780.84963100,148,2662259.00000000,3603.80171100,0
1568332800000,0.00136000,0.00139500,0.00132700,0.00139500,3023792.00000000,1568419199999,4107.12142700,121,961420.00000000,1313.14737500,0
1568419200000,0.00138900,0.00139900,0.00132500,0.00139800,6872050.00000000,1568505599999,9362.84919000,251,3736484.00000000,5093.01802000,0
1568505600000,0.00139800,0.00140100,0.00133500,0.00136600,1664084.00000000,1568591999999,2308.00730000,100,688153.00000000,957.93207500,0
1568592000000,0.00138500,0.00147500,0.00136700,0.00144200,4806791.00000000,1568678399999,6836.65070200,280,2374961.00000000,3405.93138900,0
1568678400000,0.00142200,0.00155000,0.00139000,0.00149200,6395547.00000000,1568764799999,9463.61328500,285,3492854.00000000,5166.14667800,0
1568764800000,0.00152000,0.00181900,0.00149700,0.00174200,26862982.00000000,1568851199999,45698.67646100,831,12440650.00000000,21215.53084600,0
1568851200000,0.00170100,0.00173500,0.00146300,0.00155100,23297767.00000000,1568937599999,36418.74828400,576,10258291.00000000,16022.86449500,0
1568937600000,0.00155100,0.00156300,0.00148700,0.00153300,6092004.00000000,1569023999999,9309.30441900,228,2569951.00000000,3949.94499400,0
1569024000000,0.00153300,0.00157600,0.00147900,0.00156500,9263361.00000000,1569110399999,14021.00817400,272,3410867.00000000,5208.37398000,0
1569110400000,0.00153600,0.00157400,0.00147700,0.00153800,9647394.00000000,1569196799999,14483.27662700,189,1906399.00000000,2882.98645400,0
1569196800000,0.00152300,0.00159200,0.00144600,0.00147400,7094514.00000000,1569283199999,10746.63328800,251,2327380.00000000,3571.69923800,0
1569283200000,0.00147100,0.00150000,0.00107000,0.00124400,11474397.00000000,1569369599999,15293.08385700,388,3928426.00000000,5349.32474000,0
1569369600000,0.00125900,0.00132300,0.00116200,0.00125000,5058784.00000000,1569455999999,6102.93309600,161,1110667.00000000,1359.80512500,0
1569456000000,0.00124500,0.00128500,0.00112100,0.00117500,6158061.00000000,1569542399999,7357.03104000,207,3130677.00000000,3800.37733500,0
1569542400000,0.00116400,0.00120400,0.00110900,0.00120400,7527783.00000000,1569628799999,8654.01485500,197,4975556.00000000,5727.64227800,0
1569628800000,0.00120300,0.00122100,0.00116300,0.00121300,5637249.00000000,1569715199999,6693.98558700,183,2370616.00000000,2816.97163400,0
1569715200000,0.00121300,0.00131500,0.00112100,0.00114100,10730003.00000000,1569801599999,12736.26148300,312,4698326.00000000,5605.12078000,0
1569801600000,0.00114400,0.00132300,0.00106700,0.00121600,16793511.00000000,1569887999999,19811.80599800,335,8029467.00000000,9434.01509800,0
1569888000000,0.00121100,0.00140500,0.00114500,0.00126000,45460394.00000000,1569974399999,58361.39695900,887,27833831.00000000,35922.11308000,0
1569974400000,0.00124800,0.00126000,0.00118500,0.00125800,26191525.00000000,1570060799999,31834.73641800,535,9717702.00000000,11810.30067100,0
1570060800000,0.00125800,0.00131000,0.00122400,0.00129000,9012071.00000000,1570147199999,11387.40679200,220,5037710.00000000,6372.93499300,0
1570147200000,0.00128900,0.00129800,0.00124900,0.00129500,3078298.00000000,1570233599999,3935.80521000,125,2120313.00000000,2717.58598000,0
1570233600000,0.00127900,0.00139500,0.00127900,0.00133000,16606354.00000000,1570319999999,22031.23237600,345,6235689.00000000,8238.18479300,0
