unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1597795200000,0.5101,0.72,0.4923,0.5526,3386086.32,1597881599999,1869066.851864,10767,1365478.89,754782.058901,0,
1597881600000,0.5473,0.64,0.547,0.6114,4229768.1,1597967999999,2536817.508031,14290,1873751.56,1124921.238485,0,
1597968000000,0.6114,0.6284,0.5105,0.5205,2333052.73,1598054399999,1313620.858434,8325,1033543.61,582636.218918,0,
1598054400000,0.5176,0.5476,0.425,0.5331,2458497.96,1598140799999,1239348.115487,8872,1128941.91,568758.93908,0,
1598140800000,0.5363,0.6087,0.523,0.5945,2265337.55,1598227199999,1292057.796743,8856,1104854.64,632109.119224,0,
1598227200000,0.5945,0.6171,0.5419,0.5548,1876521.8,1598313599999,1071330.172374,7906,809660.14,464079.024954,0,
1598313600000,0.5548,0.5777,0.478,0.504,2360738.6,1598399999999,1236047.953325,8215,1055348.59,556470.16623,0,
1598400000000,0.5058,0.595,0.4777,0.5551,3396164.55,1598486399999,1806632.704595,10607,1725306.71,925031.831132,0,
1598486400000,0.556,0.6,0.4904,0.512,3800845.13,1598572799999,2075237.162042,11273,1489936.58,819549.380982,0,
1598572800000,0.5147,0.5901,0.5104,0.5449,3006960.35,1598659199999,1645704.108248,7725,1503118.92,824345.880348,0,
1598659200000,0.545,0.63,0.5412,0.622,4164016.48,1598745599999,2437141.667838,11705,1896871.92,1113489.419738,0,
1598745600000,0.6235,0.6701,0.6001,0.6333,5697472.9,1598831999999,3613149.860467,16889,2632302.84,1673502.319675,0,
1598832000000,0.6332,0.6356,0.5581,0.5695,4198470.6,1598918399999,2438364.343847,12337,1857696.4,1077005.660226,0,
1598918400000,0.5698,0.5698,0.5201,0.5338,3846917.96,1599004799999,2090420.109038,12671,1618456.26,880329.320521,0,
1599004800000,0.5338,0.5599,0.4699,0.5212,3494046.07,1599091199999,1809301.079164,12078,1493090.45,775509.261785,0,
1599091200000,0.5233,0.5346,0.41,0.4264,3863833.94,1599177599999,1849020.405015,11849,1884078.45,907089.561001,0,
1599177600000,0.4289,0.4582,0.35,0.4037,4865052.72,1599263999999,1952433.880388,9169,2373835.86,956445.124289,0,
1599264000000,0.4037,0.44,0.2769,0.3271,4467148.32,1599350399999,1513583.750632,9232,2046308.04,693150.259294,0,
1599350400000,0.325,0.45,0.285,0.3933,5857174.7,1599436799999,2158853.943684,13882,2867164.57,1056780.225551,0,
1599436800000,0.3933,0.4265,0.3218,0.3848,6316847.31,1599523199999,2335560.22514,10994,2908283.91,1081892.033705,0,
1599523200000,0.3848,0.3925,0.3293,0.3484,4225117.85,1599609599999,1492725.690302,6650,1929533.39,681515.785437,0,
1599609600000,0.3457,0.3935,0.3256,0.366,2775148.53,1599695999999,1013977.404045,4891,1520746.28,556235.802391,0,
1599696000000,0.366,0.4541,0.366,0.3941,3999802.78,1599782399999,1653132.207256,8757,1807315.85,747349.138297,0,
1599782400000,0.3937,0.4,0.3628,0.3876,2902934.77,1599868799999,1096823.081383,4648,1232356.07,466552.767139,0,
1599868800000,0.3863,0.4,0.3505,0.367,3590857.16,1599955199999,1327825.770232,5775,1331946.98,494166.495498,0,
1599955200000,0.3682,0.41,0.3345,0.3446,3228197.17,1600041599999,1179745.500719,7133,1592557.89,582445.751422,0,
1600041600000,0.3448,0.3804,0.337,0.3551,2708056.91,1600127999999,966598.8178,4900,1288323.21,461107.769297,0,
1600128000000,0.355,0.3715,0.3,0.3223,3573843.52,1600214399999,1209676.653553,6120,1874716.8,633903.577829,0,
1600214400000,0.3224,0.3862,0.3008,0.3528,4590381.76,1600300799999,1546030.208937,8817,2252599.41,759499.551057,0,
1600300800000,0.3543,0.3609,0.3041,0.3236,3678563.57,1600387199999,1192759.894615,6111,1596309.09,517689.552227,0,
1600387200000,0.3249,0.349,0.3058,0.3221,3646930.54,1600473599999,1191245.637765,7128,1740014.82,569359.624397,0,
1600473600000,0.3237,0.428,0.3231,0.4176,9578233.37,1600559999999,3572352.481385,19336,4886891.98,1829062.66263,0,
1600560000000,0.4176,0.4249,0.3352,0.3683,5158158.23,1600646399999,1962051.173505,10808,2316255.19,883122.266961,0,
1600646400000,0.3674,0.3936,0.2933,0.3425,6150634.74,1600732799999,2065116.684005,11688,2710776.82,910577.542458,0,
1600732800000,0.3446,0.387,0.328,0.3724,4503957.97,1600819199999,1612101.306493,9781,2266476.04,810481.428081,0,
1600819200000,0.3725,0.3979,0.3325,0.3561,4222884.55,1600905599999,1556107.591155,7906,2071110.41,764547.510601,0,
1600905600000,0.3561,0.41,0.3483,0.4048,4090328.86,1600991999999,1578692.932232,7915,2320237.18,898508.364984,0,
1600992000000,0.405,0.4229,0.3828,0.4221,2696182.49,1601078399999,1092101.857739,5813,1382162.34,560476.091074,0,
1601078400000,0.4219,0.4244,0.3814,0.394,3238127.03,1601164799999,1289671.248873,6974,1528039.75,609830.414694,0,
1601164800000,0.3948,0.4045,0.3555,0.3865,4062498.15,1601251199999,1511706.509743,7613,1932877.16,719543.338744,0,
1601251200000,0.3882,0.3914,0.3427,0.3435,3633507.22,1601337599999,1342248.258837,7513,1327470.3,492393.920512,0,
1601337600000,0.3434,0.3617,0.34,0.3606,2475090.68,1601423999999,861272.620594,5266,1113988.5,388654.572777,0,
1601424000000,0.3598,0.38,0.3429,0.3706,3442388.44,1601510399999,1247377.892518,7327,1641689.02,596705.271427,0,
1601510400000,0.3703,0.405,0.3441,0.3865,5434542.99,1601596799999,2044315.301617,10197,2733901.01,1034083.838909,0,
1601596800000,0.3867,0.4,0.35,0.361,5765071.99,1601683199999,2148684.592443,9771,2543311.6,951015.701331,0,
1601683200000,0.3607,0.3691,0.3538,0.3551,2641569.38,1601769599999,951120.472918,4389,1086121.68,391584.057861,0,
1601769600000,0.3565,0.3578,0.3302,0.3425,2160845.5,1601855999999,735396.625026,3865,837534.57,284814.648838,0,
1601856000000,0.3417,0.3477,0.3071,0.3159,3479767.97,1601942399999,1121525.159697,5501,1423051.26,457501.912575,0,
1601942400000,0.3159,0.3276,0.2489,0.2551,5329614.19,1602028799999,1529165.671952,8506,2145093.89,616218.25056,0,
1602028800000,0.2551,0.3225,0.2396,0.3003,6930497.95,1602115199999,1937339.365981,9998,3229601.94,907799.20139,0,
1602115200000,0.3013,0.3196,0.2785,0.31,4104227.88,1602201599999,1225449.502221,6934,2172695.75,648379.459254,0,
1602201600000,0.31,0.3378,0.3026,0.3336,2012187.61,1602287999999,650574.173248,4338,1038792.09,336434.5398,0,
1602288000000,0.3332,0.35,0.3074,0.3111,3028058.6,1602374399999,974837.931062,5208,1263081.93,409046.709291,0,
1602374400000,0.3108,0.3255,0.3032,0.306,1790924.49,1602460799999,559546.98575,3249,746143.95,233937.809643,0,
1602460800000,0.3072,0.38,0.3037,0.3787,5439765.07,1602547199999,1899192.036106,8807,2466379.52,862452.386828,0,
1602547200000,0.3787,0.3827,0.3464,0.3722,3430574.6,1602633599999,1249005.222834,7223,1705461.78,623777.886279,0,
1602633600000,0.3719,0.3881,0.3501,0.361,2500163.09,1602719999999,927507.465324,5946,1178192.31,439533.22424,0,
1602720000000,0.3612,0.385,0.3372,0.3715,2135296.77,1602806399999,777188.271838,4826,941983.95,345028.540944,0,
1602806400000,0.3715,0.3748,0.3329,0.337,2181651.24,1602892799999,761075.191234,5281,950124.02,332141.678896,0,
1602892800000,0.3372,0.3526,0.3346,0.3464,749463.64,1602979199999,256672.730776,2179,364625.33,125216.104066,0,
1602979200000,0.3463,0.3851,0.3438,0.3851,2099881.39,1603065599999,774820.555932,4591,1071297.57,396883.259645,0,
1603065600000,0.3852,0.386,0.3543,0.3556,3170806.24,1603151999999,1183930.326469,6026,1486546.18,556462.486706,0,
1603152000000,0.3557,0.3582,0.3252,0.3361,2156281.92,1603238399999,736806.487324,5039,767033.27,261663.11676,0,
1603238400000,0.3364,0.3525,0.3258,0.3415,2988986.14,1603324799999,1010196.369119,6030,1320633.43,448286.295076,0,
1603324800000,0.342,0.3643,0.3384,0.3465,2027093.81,1603411199999,715300.999834,4531,950095.66,336098.512202,0,
1603411200000,0.3468,0.41,0.3356,0.3965,4463202.78,1603497599999,1657569.031756,10228,2533949.69,948066.994691,0,
1603497600000,0.3965,0.4552,0.3845,0.4341,6808274.15,1603583999999,2880261.208356,18892,3451837.37,1458925.587634,0,
1603584000000,0.4345,0.4936,0.4264,0.4372,7234030.12,1603670399999,3319455.564076,22142,3443998.21,1583851.183068,0,
1603670400000,0.438,0.515,0.4,0.4554,13045104.68,1603756799999,5854344.026129,36497,6232776.92,2803262.004993,0,
1603756800000,0.454,0.5608,0.4364,0.5166,13224691.8,1603843199999,6502362.253623,30610,6680700.85,3298144.214149,0,
1603843200000,0.5166,0.5822,0.4917,0.5256,16372904.82,1603929599999,8670610.389928,38440,7538437.43,3997648.245109,0,
1603929600000,0.5256,0.5484,0.4461,0.4584,8532327.63,1604015999999,4243219.275296,19319,3793170.25,1883580.738424,0,
1604016000000,0.4584,0.4783,0.4022,0.4731,10933387.12,1604102399999,4865351.021318,25992,4829830.16,2157723.649598,0,
1604102400000,0.473,0.476,0.4034,0.426,10346123.45,1604188799999,4411273.116378,18213,3778255.48,1602553.337147,0,
1604188800000,0.4252,0.4954,0.4156,0.4786,10563375.84,1604275199999,4837303.506824,15967,5606564.47,2578455.970238,0,
1604275200000,0.4786,0.5175,0.4564,0.4575,11594481.93,1604361599999,5663052.911173,20344,5536894.25,2712605.184608,0,
1604361600000,0.457,0.4679,0.4189,0.45,10409884.51,1604447999999,4604214.898677,26224,4800872.6,2126208.694792,0,
1604448000000,0.4487,0.4726,0.4158,0.4676,7922532.72,1604534399999,3514771.441928,20812,3973271.06,1766593.563103,0,
1604534400000,0.4663,0.482,0.4252,0.4709,10433582.13,1604620799999,4757949.326516,27557,5350134.87,2441774.020882,0,
1604620800000,0.4708,0.5148,0.4607,0.5043,12674726.43,1604707199999,6205347.195474,31234,6538755.72,3203929.75196,0,
1604707200000,0.5047,0.5451,0.451,0.4832,12983895.76,1604793599999,6562669.21149,35325,5839717.87,2970621.808783,0,
1604793600000,0.4812,0.5151,0.4691,0.5134,6441383.58,1604879999999,3181353.370125,16913,3298870.33,1627859.677022,0,
1604880000000,0.5131,0.58,0.4975,0.5773,11569658.64,1604966399999,6173105.59946,27040,6183374.75,3312582.048705,0,
1604966400000,0.5774,0.6042,0.5385,0.5728,12429148.89,1605052799999,7130920.976763,32764,5900595.17,3389993.564886,0,
1605052800000,0.573,0.624,0.5632,0.566,12887197.26,1605139199999,7753775.505511,29918,6278981.13,3790702.106435,0,
1605139200000,0.5661,0.5878,0.5086,0.5233,10616928.73,1605225599999,5815123.150908,19546,3949690.33,2173588.984222,0,
1605225600000,0.523,0.5633,0.513,0.5438,9836582.69,1605311999999,5314817.459791,22196,4521420.26,2444182.080547,0,
1605312000000,0.5429,0.5621,0.5027,0.5443,9335038.67,1605398399999,4942664.016764,20108,4455262.29,2362608.803494,0,
1605398400000,0.5445,0.57,0.517,0.5291,8524938.07,1605484799999,4657744.232916,16233,4083051.58,2235484.799666,0,
1605484800000,0.5273,0.5652,0.522,0.5532,7554647.42,1605571199999,4108405.497331,18150,4031730.45,2195707.773037,0,
1605571200000,0.5532,0.5888,0.5364,0.5878,9802189.1,1605657599999,5539063.765834,24030,5169367.68,2929118.972838,0,
1605657600000,0.588,0.6,0.5387,0.5505,8925341.09,1605743999999,5009333.854539,24676,4300703.52,2423346.317162,0,
1605744000000,0.5506,0.5722,0.5223,0.5425,8983596.35,1605830399999,4917980.780866,24916,4353315.67,2388248.648271,0,
1605830400000,0.5419,0.56,0.5196,0.5333,9999574.84,1605916799999,5420297.333486,26202,4524189.05,2457097.157294,0,
1605916800000,0.5319,0.5788,0.51,0.5582,15524322.25,1606003199999,8440942.603696,44154,8227598.64,4481903.781373,0,
1606003200000,0.5593,0.5704,0.4698,0.5047,15845870.2,1606089599999,8235898.300117,43519,7100225.58,3699756.959751,0,
1606089600000,0.5062,0.553,0.494,0.5264,12049205.18,1606175999999,6338196.203997,34831,5940064.49,3130120.743975,0,
1606176000000,0.5264,0.5495,0.4913,0.5258,16991509.75,1606262399999,8822631.990613,51246,8221417.72,4274061.16312,0,
1606262400000,0.5255,0.5411,0.4702,0.5009,13112543.6,1606348799999,6762633.123474,36513,6206600.53,3209972.256274,0,
1606348800000,0.5011,0.5064,0.3923,0.4372,19510832.52,1606435199999,8446346.958972,41818,9013886.08,3893488.705639,0,
1606435200000,0.4371,0.4527,0.4051,0.4242,7840860.6,1606521599999,3337257.638035,15426,3688779.5,1570204.681438,0,
1606521600000,0.4242,0.4563,0.4095,0.4464,7515007.69,1606607999999,3294145.338232,16153,3981494.64,1743803.758101,0,
1606608000000,0.4461,0.472,0.4305,0.4632,7463178.38,1606694399999,3385787.423428,17053,3983683.92,1807423.604504,0,
1606694400000,0.4634,0.4833,0.4327,0.4801,16577730.94,1606780799999,7537938.788897,30263,8276347.48,3771250.319055,0,
1606780800000,0.4815,0.5049,0.44,0.4502,15674366.45,1606867199999,7420757.405923,33915,7438504.45,3528915.790702,0,
1606867200000,0.4501,0.4829,0.4404,0.4795,7420610.59,1606953599999,3441757.956646,17003,3815783.07,1772168.76948,0,
1606953600000,0.4788,0.482,0.4655,0.476,4502500.97,1607039999999,2135449.79824,12214,2282617.89,1083982.261915,0,
1607040000000,0.4775,0.5105,0.4362,0.4399,13175085.75,1607126399999,6307884.86834,28817,6457587.37,3101841.794723,0,
1607126400000,0.44,0.4723,0.4349,0.4687,5129799.73,1607212799999,2356659.249262,12435,2556820.47,1174846.268868,0,
1607212800000,0.4687,0.4711,0.436,0.4474,6849306.29,1607299199999,3078341.258773,14537,3121574.89,1401040.614654,0,
1607299200000,0.4481,0.4502,0.4138,0.428,10899961.11,1607385599999,4698242.726711,22054,5260136.63,2270017.663571,0,
1607385600000,0.4288,0.4291,0.364,0.373,12326179.99,1607471999999,4919871.563254,24055,5404254.54,2160330.379129,0,
1607472000000,0.3732,0.4068,0.344,0.3914,15766836.36,1607558399999,5989819.630212,28198,7341715.82,2782388.327277,0,
1607558400000,0.3909,0.3939,0.3561,0.3725,8784108.01,1607644799999,3299417.720843,18405,4173157.68,1565951.600234,0,
1607644800000,0.373,0.3796,0.3446,0.3688,10104418.49,1607731199999,3670853.421951,19927,5017483.1,1827247.5071,0,
1607731200000,0.3694,0.4009,0.3663,0.378,10135919.74,1607817599999,3897692.019673,20344,4941456.5,1901860.792206,0,
1607817600000,0.378,0.4052,0.3702,0.3964,7693641.79,1607903999999,3011082.80166,16260,3834889.44,1502319.868371,0,
1607904000000,0.3963,0.4095,0.377,0.4046,8029944.31,1607990399999,3128362.227755,14289,3940325.15,1538551.181055,0,
1607990400000,0.4049,0.4532,0.4,0.4363,17188582.19,1608076799999,7343341.246516,31408,8821033.6,3771025.578051,0,
1608076800000,0.4363,0.459,0.41,0.4325,13208185.52,1608163199999,5749625.449875,26503,6250458.03,2725096.234225,0,
1608163200000,0.4323,0.49,0.427,0.4364,23508760.92,1608249599999,10681353.325196,51540,12696170.7,5783673.964954,0,
1608249600000,0.4364,0.4649,0.4082,0.4333,13226434.05,1608335999999,5732205.09962,29420,6608682.5,2864518.653966,0,
1608336000000,0.4342,0.458,0.4239,0.4288,13110994.77,1608422399999,5769442.535118,33633,7008706.26,3088946.575234,0,
1608422400000,0.429,0.4294,0.3802,0.3979,12654679.69,1608508799999,5163060.33304,28138,5474641.33,2232474.856932,0,
1608508800000,0.397,0.4,0.3546,0.3909,13515487.25,1608595199999,5141416.453741,30600,6115540.73,2331538.33897,0,
1608595200000,0.3913,0.3965,0.364,0.3827,11053829.79,1608681599999,4226022.587565,29926,5254803.1,2010825.651419,0,
1608681600000,0.3803,0.3836,0.2679,0.3087,20593649.48,1608767999999,6949287.649815,42258,9327209.97,3141347.423241,0,
1608768000000,0.3078,0.3401,0.2955,0.3325,21744359.57,1608854399999,6846987.993097,42691,10515760.41,3314772.348939,0,
1608854400000,0.3327,0.3547,0.3146,0.3243,12058097.24,1608940799999,4014693.212526,24621,5896397.32,1960801.65877,0,
1608940800000,0.3242,0.3427,0.3155,0.3261,12074798.61,1609027199999,3950801.571743,26298,5747959.21,1882151.773034,0,
1609027200000,0.3262,0.352,0.2888,0.3281,21445862.56,1609113599999,6882301.730818,37329,10574578.55,3392680.037453,0,
1609113600000,0.3296,0.3792,0.3224,0.3671,16749948.07,1609199999999,5977267.061199,28951,8402690.68,2999082.391521,0,
1609200000000,0.3672,0.3747,0.3218,0.3383,16798056.05,1609286399999,5751252.151498,28515,7846207.61,2687227.376848,0,
1609286400000,0.3381,0.3437,0.3119,0.3255,12805716.71,1609372799999,4189674.702475,21898,6187427.83,2026895.18131,0,
