unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1637107200000,0.52330000,0.84860000,0.52330000,0.71290000,128371388.00000000,1637193599999,93295302.00080000,270448,62314072.00000000,45280853.06040000,0
1637193600000,0.71300000,0.71330000,0.51500000,0.52730000,49914393.00000000,1637279999999,29273987.37040000,108942,24338340.00000000,14293836.81880000,0
1637280000000,0.52570000,0.54370000,0.48160000,0.53710000,26731763.00000000,1637366399999,13796906.40020000,49514,14231464.00000000,7342594.17040000,0
1637366400000,0.53730000,0.83500000,0.51800000,0.78520000,167771309.00000000,1637452799999,121991412.35980000,236259,86862565.00000000,63206332.48570000,0
1637452800000,0.78540000,0.96170000,0.72310000,0.79200000,84163170.00000000,1637539199999,70101286.43190000,129188,42591585.00000000,35411704.90510000,0
1637539200000,0.79160000,0.79160000,0.69620000,0.73300000,17665687.00000000,1637625599999,13069789.50030000,32704,9571831.00000000,7074956.02430000,0
1637625600000,0.73280000,0.80670000,0.72700000,0.76230000,19263369.00000000,1637711999999,14586698.39860000,37735,10077506.00000000,7637691.50620000,0
1637712000000,0.76160000,0.80370000,0.72140000,0.76650000,14427285.00000000,1637798399999,10972492.93550000,31169,8325133.00000000,6340314.12830000,0
1637798400000,0.76610000,0.76610000,0.68700000,0.71500000,10876302.00000000,1637884799999,7756344.45830000,23318,5903690.00000000,4214063.16000000,0
1637884800000,0.71500000,0.72830000,0.59490000,0.62470000,9468644.00000000,1637971199999,6134763.65600000,18612,4380995.00000000,2837604.82770000,0
1637971200000,0.62580000,0.66700000,0.61400000,0.65320000,5987991.00000000,1638057599999,3867415.44530000,12708,3010313.00000000,1943675.28430000,0
1638057600000,0.65300000,0.65950000,0.57830000,0.63160000,4365329.00000000,1638143999999,2679716.97140000,9535,2306165.00000000,1421052.61780000,0
1638144000000,0.63080000,0.68610000,0.62190000,0.65000000,10046762.00000000,1638230399999,6621972.52810000,18942,5424467.00000000,3575892.23450000,0
