unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1642723200000,7.30400000,9.80000000,4.60000000,6.24900000,1143637.40000000,1642809599999,7811663.44670000,30805,562127.40000000,3854072.56160000,0
1642809600000,6.23200000,6.80800000,4.84500000,5.60700000,1886930.30000000,1642895999999,10725062.89470000,32565,995107.70000000,5651908.41140000,0
1642896000000,5.59300000,6.10000000,5.26100000,5.72000000,935155.10000000,1642982399999,5334602.28420000,12643,486316.70000000,2775052.26060000,0
1642982400000,5.70000000,5.70100000,4.51800000,5.46400000,1098386.60000000,1643068799999,5593156.58140000,13766,583639.50000000,2953112.55790000,0
1643068800000,5.46900000,6.36000000,5.13600000,6.24400000,1339129.70000000,1643155199999,7633414.19440000,17211,642594.90000000,3682966.39080000,0
1643155200000,6.24700000,6.97000000,5.73400000,5.90900000,1534105.90000000,1643241599999,9538680.86390000,27866,744220.40000000,4625477.51150000,0
1643241600000,5.91900000,6.14400000,5.40400000,5.77200000,1461145.40000000,1643327999999,8405577.18340000,31141,651260.10000000,3748374.04640000,0
1643328000000,5.77900000,5.87400000,5.28000000,5.55500000,1246303.70000000,1643414399999,6978020.44660000,27562,637873.10000000,3570208.90070000,0
1643414400000,5.53900000,5.83800000,5.50800000,5.61300000,590131.10000000,1643500799999,3344430.17580000,13153,315522.80000000,1790282.91970000,0
1643500800000,5.61000000,5.70200000,5.02700000,5.28500000,526535.50000000,1643587199999,2864183.48980000,11441,258815.40000000,1409436.46280000,0
1643587200000,5.29800000,5.48000000,4.92500000,5.23000000,665479.70000000,1643673599999,3443247.02980000,13856,330703.00000000,1709685.15010000,0
1643673600000,5.23100000,5.52800000,5.02200000,5.35100000,721101.90000000,1643759999999,3840965.84080000,17434,421708.80000000,2246180.56050000,0
1643760000000,5.35100000,5.47300000,4.76800000,4.89300000,558797.40000000,1643846399999,2871158.07390000,16723,276201.60000000,1421698.95620000,0
1643846400000,4.88100000,5.15800000,4.60000000,5.13800000,744281.00000000,1643932799999,3692613.43440000,19913,340762.20000000,1693240.40750000,0
1643932800000,5.15400000,5.69000000,5.03700000,5.66200000,707357.30000000,1644019199999,3784173.51380000,15396,298804.80000000,1588734.38520000,0
1644019200000,5.66400000,5.76000000,5.50100000,5.62400000,427429.40000000,1644105599999,2420889.65790000,12106,225631.70000000,1278648.75840000,0
1644105600000,5.64000000,5.90000000,5.64000000,5.84700000,410908.40000000,1644191999999,2369778.83280000,11152,221405.80000000,1277852.04530000,0
1644192000000,5.85200000,6.85500000,5.73400000,6.77300000,1360166.80000000,1644278399999,8776432.41300000,33226,666756.50000000,4300338.34920000,0
1644278400000,6.78200000,7.04200000,6.11100000,6.40300000,1247013.60000000,1644364799999,8064817.29750000,27392,654460.70000000,4247368.56880000,0
1644364800000,6.41600000,6.78500000,6.16500000,6.60700000,1096498.50000000,1644451199999,7063655.68260000,21098,609610.40000000,3919158.21550000,0
1644451200000,6.60700000,7.39500000,6.53200000,6.71100000,2005925.00000000,1644537599999,13993175.16870000,55039,1023631.00000000,7144102.72340000,0
1644537600000,6.70200000,7.03100000,6.28300000,6.36800000,875193.50000000,1644623999999,5898309.10120000,22597,401626.80000000,2718074.55910000,0
1644624000000,6.36600000,6.40700000,5.98700000,6.13000000,699952.20000000,1644710399999,4329258.85120000,15286,318643.20000000,1972246.49460000,0
1644710400000,6.12800000,6.27100000,5.83800000,5.86200000,460063.50000000,1644796799999,2797055.36450000,10954,217947.10000000,1324907.25740000,0
1644796800000,5.86200000,6.01100000,5.70300000,5.94800000,601070.70000000,1644883199999,3517993.23780000,12758,313556.30000000,1837365.92700000,0
1644883200000,5.95200000,6.90000000,5.88000000,6.82200000,992514.70000000,1644969599999,6445029.48130000,21061,480435.30000000,3128263.46860000,0
1644969600000,6.80900000,6.92100000,6.41000000,6.64100000,613704.70000000,1645055999999,4077090.50870000,15259,308104.80000000,2049998.12500000,0
1645056000000,6.63800000,6.80000000,6.02300000,6.10200000,831672.70000000,1645142399999,5382001.08730000,19696,363273.90000000,2358624.33690000,0
1645142400000,6.10500000,6.42800000,6.01700000,6.05700000,772622.60000000,1645228799999,4793151.91250000,17804,351427.80000000,2178191.28560000,0
1645228800000,6.05600000,6.26000000,5.87800000,5.99600000,398250.10000000,1645315199999,2409951.32800000,10632,181618.60000000,1101856.97390000,0
1645315200000,5.99200000,5.99800000,5.48000000,5.60600000,519404.30000000,1645401599999,2940611.55770000,10783,218466.60000000,1237054.30010000,0
1645401600000,5.60600000,5.92600000,5.37200000,5.40300000,763068.40000000,1645487999999,4331463.49900000,15421,374298.70000000,2125957.32310000,0
1645488000000,5.40200000,5.50900000,5.11700000,5.35800000,588019.10000000,1645574399999,3095612.46910000,11577,238179.30000000,1255750.08680000,0
1645574400000,5.35100000,5.60600000,5.15300000,5.15700000,450443.10000000,1645660799999,2440142.28600000,10740,219201.90000000,1189873.53060000,0
1645660800000,5.15900000,5.18300000,4.22900000,4.84800000,1462737.40000000,1645747199999,6808016.28630000,27930,697010.40000000,3231004.15440000,0
1645747200000,4.85100000,5.38300000,4.83300000,5.22800000,839649.00000000,1645833599999,4289848.51450000,16801,381514.10000000,1951586.83140000,0
1645833600000,5.22500000,5.58000000,5.21300000,5.48900000,634170.00000000,1645919999999,3434974.77800000,11370,315901.80000000,1709081.87890000,0
1645920000000,5.49200000,5.54000000,4.92300000,5.03200000,513197.60000000,1646006399999,2695204.21200000,10404,286965.50000000,1509379.29290000,0
1646006400000,5.02900000,5.69000000,4.95600000,5.57700000,703881.40000000,1646092799999,3715079.95830000,11507,347589.70000000,1834048.31790000,0
1646092800000,5.57700000,5.66200000,5.17400000,5.26300000,1709497.50000000,1646179199999,9195101.04100000,24104,677668.20000000,3639384.46500000,0
1646179200000,5.26400000,5.32000000,4.98300000,5.06200000,1558038.30000000,1646265599999,8018136.78350000,21529,620835.20000000,3193669.79640000,0
1646265600000,5.05800000,5.10700000,4.70600000,4.94000000,1079527.80000000,1646351999999,5309786.31640000,15090,504938.40000000,2480645.59620000,0
1646352000000,4.94300000,4.94500000,4.45000000,4.51600000,945259.10000000,1646438399999,4458506.91880000,13449,449463.60000000,2119654.31280000,0
1646438400000,4.51500000,4.74000000,4.43700000,4.69400000,503469.80000000,1646524799999,2316102.99560000,7030,233013.20000000,1073331.61670000,0
1646524800000,4.69200000,4.71300000,4.26300000,4.32400000,676484.80000000,1646611199999,3053327.42640000,8416,306058.90000000,1382331.76220000,0
1646611200000,4.32500000,4.55500000,4.23600000,4.35000000,675329.70000000,1646697599999,2955376.69220000,9747,308604.00000000,1350921.98170000,0
1646697600000,4.35600000,4.55000000,4.14800000,4.53000000,1204877.30000000,1646783999999,5207131.47990000,15870,647469.60000000,2802961.16880000,0
1646784000000,4.53000000,5.03900000,4.52700000,4.74000000,2629770.80000000,1646870399999,12725743.94660000,32106,1205765.60000000,5829163.28400000,0
1646870400000,4.73500000,4.78900000,4.33700000,4.61200000,1318630.00000000,1646956799999,5991622.25360000,17806,642782.20000000,2923660.85900000,0
1646956800000,4.61200000,5.01000000,4.43900000,4.71000000,1277297.50000000,1647043199999,5967009.61760000,17159,592515.10000000,2773695.74100000,0
1647043200000,4.71900000,5.01600000,4.70200000,4.76000000,1096240.60000000,1647129599999,5365788.35530000,13466,499044.60000000,2443868.08910000,0
1647129600000,4.75900000,4.81800000,4.69500000,4.69700000,249122.90000000,1647215999999,1185847.44530000,3459,122186.60000000,581665.03240000,0
