unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1597104000000,2.85,3.5208,2.8433,3.2985,1552384.78,1597190399999,4939148.938107,13490,741770.79,2370192.681119,0,
1597190400000,3.2985,3.9289,3.08,3.7558,1737042.95,1597276799999,6176153.724638,21118,889133.5,3161944.268817,0,
1597276800000,3.75,4.1387,3.5003,3.73,1685759.24,1597363199999,6446567.98049,22922,716358.46,2755764.748006,0,
1597363200000,3.7207,3.7676,3.321,3.4099,1474161.79,1597449599999,5205834.095977,18581,578651.84,2048896.655467,0,
1597449600000,3.4181,3.74,3.15,3.173,1070233.2,1597535999999,3658005.622202,13903,439623.97,1510472.729568,0,
1597536000000,3.173,3.4907,3.12,3.3885,668106.53,1597622399999,2227715.62781,10659,267439.48,896424.218505,0,
1597622400000,3.3885,3.3952,3.1,3.11,729413.64,1597708799999,2355329.78763,8632,258191.89,833604.429817,0,
1597708800000,3.11,3.7092,2.8105,3.3407,2713115.94,1597795199999,8885306.133224,27415,1276599.28,4211377.733932,0,
1597795200000,3.334,3.49,2.8,2.8868,1433243.76,1597881599999,4380403.488824,17076,487245.28,1491949.575963,0,
1597881600000,2.8962,3.445,2.8871,3.2038,1277827.32,1597967999999,4078240.331482,14169,654313.24,2100682.285326,0,
1597968000000,3.2038,3.24,2.89,2.9317,1131895.9,1598054399999,3480342.67494,12957,435955.04,1340925.254726,0,
1598054400000,2.9213,3.2,2.7431,3.0126,1169417.78,1598140799999,3433997.193736,10427,535610.79,1579335.779896,0,
1598140800000,3.0224,3.4,3.0014,3.25,1198036.69,1598227199999,3846250.69637,11455,701976.44,2259165.675399,0,
1598227200000,3.2658,3.62,3.21,3.3405,1315196.06,1598313599999,4504839.417218,15317,634212.19,2181573.743108,0,
1598313600000,3.3406,3.3654,3.0001,3.25,1149187.37,1598399999999,3629890.757954,14226,477028.87,1506233.260046,0,
