unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1607040000000,1.0,1.018,0.9913,1.0075,226253.7,1607126399999,227390.195997,697,159588.23,160731.512782,0,
1607126400000,1.0075,1.0079,0.9976,1.005,211645.68,1607212799999,212445.309361,801,141996.21,142788.662884,0,
1607212800000,1.005,1.1053,0.995,0.999,255975.19,1607299199999,258376.801679,1609,112566.23,113929.747503,0,
1607299200000,0.999,1.0252,0.9963,1.0112,93121.15,1607385599999,93663.628834,656,53427.82,53869.611821,0,
1607385600000,1.0067,1.0658,1.0056,1.008,145384.51,1607471999999,148464.802813,967,45454.18,46609.2412,0,
1607472000000,1.0081,1.02,1.0025,1.0052,34907.8,1607558399999,35218.651858,312,13238.42,13435.702878,0,
1607558400000,1.0053,1.0148,1.0047,1.0118,60955.58,1607644799999,61485.573653,576,27856.22,28212.74885,0,
1607644800000,1.0054,1.8313,0.9814,1.012,653995.26,1607731199999,713237.758797,3552,253389.93,278070.588917,0,
1607731200000,1.012,1.0861,0.9955,1.0103,428162.73,1607817599999,442306.324054,2201,176592.31,184211.572035,0,
1607817600000,1.0097,1.015,1.0003,1.0056,47083.47,1607903999999,47427.443624,319,26903.21,27158.385624,0,
1607904000000,1.0116,1.0199,1.0056,1.0196,25332.84,1607990399999,25537.573946,243,15685.35,15834.186573,0,
1607990400000,1.0195,1.0196,1.003,1.0103,90884.31,1608076799999,92009.086212,986,42040.35,42758.931976,0,
1608076800000,1.0104,1.0145,1.0041,1.0115,30834.05,1608163199999,31060.026944,353,7840.04,7916.668742,0,
1608163200000,1.0119,1.0175,1.0041,1.0071,80118.82,1608249599999,80909.134116,1060,45976.19,46543.16634,0,
1608249600000,1.0071,1.0376,1.004,1.0079,231549.12,1608335999999,233316.034822,889,94001.16,94980.525997,0,
1608336000000,1.0044,1.0183,1.0041,1.0093,121587.56,1608422399999,122484.287068,1049,55561.85,56104.340038,0,
1608422400000,1.0055,1.013,1.0041,1.0075,64694.27,1608508799999,65181.620344,631,26478.42,26744.995862,0,
1608508800000,1.0075,1.0159,1.0015,1.0062,133781.71,1608595199999,134980.157129,997,36933.83,37354.345847,0,
1608595200000,1.0062,1.0168,1.0015,1.0057,97290.45,1608681599999,97990.143521,876,24750.99,25028.824392,0,
1608681600000,1.0057,1.0111,1.0015,1.0062,161057.13,1608767999999,161830.450274,1086,56892.52,57366.671717,0,
1608768000000,1.0062,1.0096,1.0015,1.006,121090.93,1608854399999,121492.301161,635,35428.75,35628.704702,0,
1608854400000,1.006,1.0131,1.003,1.0031,120423.55,1608940799999,121296.668043,714,65884.76,66457.351647,0,
1608940800000,1.0031,1.009,1.0022,1.0062,52347.17,1609027199999,52546.880732,409,11661.44,11746.367713,0,
1609027200000,1.0044,1.0089,1.0023,1.0045,186978.04,1609113599999,187813.487833,635,22158.5,22325.435757,0,
1609113600000,1.0067,1.01,1.004,1.01,136223.15,1609199999999,136944.679233,313,48215.76,48575.679804,0,
1609200000000,1.0069,1.02,1.004,1.02,211164.83,1609286399999,212326.580257,583,24821.82,25078.762792,0,
1609286400000,1.0205,1.037,1.003,1.017,109563.78,1609372799999,110996.250281,1100,62619.18,63650.331547,0,
1609372800000,1.017,1.025,1.0054,1.0112,27712.46,1609459199999,28042.548663,412,11372.42,11534.67794,0,
1609459200000,1.0112,1.0833,1.005,1.0213,122706.4,1609545599999,125311.480886,801,56545.45,58143.672092,0,
1609545600000,1.02,1.07,1.0058,1.0092,128742.78,1609631999999,131414.229723,915,35317.15,36253.867088,0,
1609632000000,1.0092,1.025,1.0,1.0131,195159.84,1609718399999,196544.367786,1314,56709.52,57234.842785,0,
1609718400000,1.0165,1.0288,0.8573,0.987,527441.47,1609804799999,511141.585733,3051,160647.76,156218.551451,0,
1609804800000,0.9942,1.0063,0.9464,0.9803,240961.79,1609891199999,237505.092958,1985,115092.06,113867.927676,0,
1609891200000,0.9748,0.9999,0.973,0.9923,140240.29,1609977599999,138309.958436,1020,81607.76,80735.002028,0,
1609977600000,0.993,1.016,0.91,0.9934,608229.07,1610063999999,595412.483816,2655,282157.67,279931.027084,0,
1610064000000,0.9934,1.0066,0.988,0.9973,158593.03,1610150399999,157852.849972,1464,65675.72,65500.29191,0,
1610150400000,0.9934,1.0098,0.9931,0.9986,297004.83,1610236799999,297389.022085,1928,156595.03,157113.031957,0,
1610236800000,0.9986,1.0094,0.9941,1.0024,205481.23,1610323199999,205238.186365,1633,101581.58,101722.337357,0,
1610323200000,1.0024,1.0138,0.9577,0.9928,681557.5,1610409599999,678272.542815,5760,355402.32,355336.857974,0,
1610409600000,0.9927,1.0039,0.9875,0.9975,268021.66,1610495999999,266951.301464,1763,127041.44,126925.13046,0,
1610496000000,0.9975,1.007,0.9926,0.9994,204838.78,1610582399999,204522.800306,1368,119184.48,119161.391686,0,
1610582400000,0.9996,2.6144,0.9956,1.0026,3819745.56,1610668799999,4227997.963582,13898,1794584.32,1979400.20607,0,
1610668800000,1.0048,1.01,0.9953,1.0088,998850.83,1610755199999,999105.955531,2333,574763.34,575384.457006,0,
1610755200000,1.0088,1.0088,0.997,1.0071,287312.87,1610841599999,288220.910214,1634,194132.85,194974.343224,0,
1610841600000,1.0071,1.0079,0.997,1.0018,146198.05,1610927999999,146367.885066,1106,68862.67,69093.590659,0,
1610928000000,1.0014,1.0075,0.9986,1.002,130496.84,1611014399999,130807.108821,967,46284.21,46556.409141,0,
1611014400000,1.0049,1.0138,1.0,1.0057,207197.13,1611100799999,208242.914856,929,130364.51,131239.327021,0,
1611100800000,1.0057,1.0153,1.001,1.0071,284494.34,1611187199999,286184.020702,1214,83952.53,84674.898631,0,
1611187200000,1.0047,1.0102,0.9977,1.002,230386.34,1611273599999,230874.604802,2016,70252.56,70579.435799,0,
1611273600000,1.0,1.0059,0.996,1.0039,142500.98,1611359999999,142661.963805,2381,72344.01,72575.588616,0,
1611360000000,1.0013,1.0118,1.0009,1.0118,126978.1,1611446399999,127523.549955,1149,76388.11,76861.488673,0,
1611446400000,1.0118,1.0722,1.005,1.0075,429562.49,1611532799999,438357.230577,2389,222054.75,226821.521268,0,
1611532800000,1.008,1.019,1.0049,1.0136,141588.35,1611619199999,143209.286236,1306,56633.58,57293.757493,0,
1611619200000,1.0136,1.0197,1.0118,1.0139,123174.9,1611705599999,125121.128017,1009,54903.94,55831.321827,0,
1611705600000,1.015,1.0171,1.0063,1.0134,431965.73,1611791999999,436839.255721,1349,133519.33,135119.775467,0,
1611792000000,1.0137,1.0144,1.004,1.0078,142879.18,1611878399999,143826.539317,973,71074.78,71611.123628,0,
1611878400000,1.0051,1.0154,1.0021,1.0119,750162.67,1611964799999,756905.5075,2528,412856.58,417116.713306,0,
1611964800000,1.0134,1.0137,1.0041,1.0047,162770.7,1612051199999,164072.872569,758,78798.38,79510.170999,0,
1612051200000,1.0047,1.1,1.0046,1.0081,814994.48,1612137599999,832160.739471,1876,413223.16,422819.083385,0,
1612137600000,1.0081,1.0227,1.0057,1.0141,371767.08,1612223999999,377698.096393,1062,168633.91,171457.021149,0,
1612224000000,1.0121,1.0174,1.0013,1.0129,518597.33,1612310399999,523528.365229,1628,257787.67,260444.367842,0,
1612310400000,1.0128,1.0218,1.0112,1.0212,232920.37,1612396799999,236724.464349,876,136174.07,138432.999743,0,
1612396800000,1.0212,1.0255,1.0004,1.0093,726424.82,1612483199999,738288.437075,1648,318914.1,324862.073177,0,
1612483200000,1.0098,1.02,1.0093,1.0172,374033.96,1612569599999,379320.997947,1304,214258.74,217370.313725,0,
1612569600000,1.0185,1.0244,1.0093,1.0094,525480.44,1612655999999,534998.774112,1411,271146.44,276487.955869,0,
