unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1547769600000,2.77,2.77,2.0,2.5235,86973.39,1547855999999,220852.857068,1736,44098.95,112251.940171,0,
1547856000000,2.53,2.64,2.5041,2.5718,99970.3,1547942399999,258188.763063,1776,45625.74,117988.77821,0,
1547942400000,2.5539,2.6085,2.42,2.5071,85585.78,1548028799999,214963.954758,1272,44115.87,111097.379163,0,
1548028800000,2.5071,2.58,2.4545,2.5001,66461.35,1548115199999,166317.629689,1001,25496.45,63809.219656,0,
1548115200000,2.51,2.81,2.3747,2.7684,331847.14,1548201599999,875154.788886,4335,151220.36,397181.415126,0,
1548201600000,2.7694,3.212,2.7115,3.0269,1216900.0,1548287999999,3681805.350204,17140,543264.86,1640879.552801,0,
1548288000000,3.0239,3.091,2.598,2.7189,843825.01,1548374399999,2411497.725037,11497,377143.05,1083130.212007,0,
1548374400000,2.7189,2.9199,2.7,2.7792,427197.21,1548460799999,1197320.132783,7053,231690.51,650809.388007,0,
1548460800000,2.78,2.8237,2.6516,2.677,188896.03,1548547199999,514666.802339,3134,67492.15,184230.658714,0,
1548547200000,2.6713,2.9399,2.6,2.6726,559958.05,1548633599999,1547549.177246,8377,277874.73,772114.833761,0,
1548633600000,2.6729,2.9199,2.485,2.879,1272020.41,1548719999999,3455918.642038,19807,721880.8,1969231.876388,0,
1548720000000,2.879,3.0463,2.7614,2.9478,1478807.29,1548806399999,4290526.722805,24977,834782.9,2426761.114408,0,
1548806400000,2.9478,3.055,2.7079,2.8729,1486687.83,1548892799999,4335479.560371,23361,855821.61,2499754.761878,0,
1548892800000,2.8783,2.9061,2.7511,2.773,365639.15,1548979199999,1032630.511046,8385,167991.78,474348.969629,0,
1548979200000,2.7768,2.779,2.6483,2.7135,277130.19,1549065599999,753159.068965,5951,108891.02,296253.932571,0,
1549065600000,2.7176,2.745,2.695,2.7138,134925.43,1549151999999,366178.927172,3546,58661.11,159379.831309,0,
1549152000000,2.7151,2.9071,2.6553,2.8211,608219.23,1549238399999,1704395.093874,10009,290495.21,814541.234013,0,
1549238400000,2.8184,2.87,2.702,2.7277,357521.22,1549324799999,990812.001696,7416,131029.04,363941.774598,0,
1549324800000,2.7253,2.785,2.6191,2.6662,455506.99,1549411199999,1232220.559319,9258,186055.38,503018.182563,0,
1549411200000,2.6661,2.678,2.5,2.504,372775.15,1549497599999,949383.436129,6944,126141.56,321883.799562,0,
1549497600000,2.504,2.6192,2.4689,2.4885,307286.49,1549583999999,781969.60096,5916,142062.45,362580.949262,0,
1549584000000,2.4865,2.6876,2.4501,2.6465,502060.29,1549670399999,1294184.416903,7197,250115.26,646395.40495,0,
1549670400000,2.6593,2.665,2.5539,2.6,269215.76,1549756799999,700878.503486,4480,117211.9,305782.752356,0,
1549756800000,2.6018,2.75,2.572,2.72,421981.05,1549843199999,1122421.606746,7681,202961.61,541067.118655,0,
1549843200000,2.72,2.9153,2.6345,2.8726,475068.16,1549929599999,1308949.840247,8616,259257.65,717414.21108,0,
1549929600000,2.87,2.9158,2.7207,2.8492,476142.71,1550015999999,1342289.63898,9261,226113.45,638274.153434,0,
1550016000000,2.8454,2.8695,2.723,2.7317,179514.63,1550102399999,499196.227347,3452,77196.33,215093.785138,0,
1550102400000,2.7316,2.7588,2.6312,2.6419,176689.8,1550188799999,475358.386349,3187,70026.12,188527.472326,0,
1550188800000,2.6364,2.7,2.6313,2.6565,123475.7,1550275199999,328494.550608,2256,53695.1,142984.510818,0,
1550275200000,2.6462,2.6799,2.605,2.6081,105260.74,1550361599999,276818.783126,1798,38294.44,100784.971071,0,
1550361600000,2.6081,2.6596,2.5501,2.6094,150858.31,1550447999999,391914.431695,2795,68308.7,177232.35351,0,
1550448000000,2.6095,2.7868,2.6094,2.74,361072.29,1550534399999,974536.256488,5980,178860.87,483928.025992,0,
1550534400000,2.74,2.93,2.7012,2.7862,455390.39,1550620799999,1284079.082608,6934,223346.18,630860.001891,0,
1550620800000,2.782,2.82,2.735,2.7849,173102.83,1550707199999,480627.673499,3171,73348.88,203852.861523,0,
1550707200000,2.7849,2.8671,2.7392,2.8509,274491.54,1550793599999,769613.867939,5048,135984.12,381795.912352,0,
1550793600000,2.8573,2.91,2.8081,2.9022,192626.9,1550879999999,553188.383514,3986,94600.91,272157.514309,0,
1550880000000,2.8961,2.93,2.7904,2.8894,249027.4,1550966399999,712428.371498,4445,102930.13,295726.346997,0,
1550966400000,2.8894,2.9364,2.55,2.637,402202.51,1551052799999,1109917.944582,6072,142978.15,393656.309137,0,
1551052800000,2.6463,2.75,2.6025,2.6794,180258.48,1551139199999,482863.953416,3331,68751.77,184434.838739,0,
1551139200000,2.6756,2.7003,2.6159,2.6435,98978.33,1551225599999,261874.646734,1561,22548.9,59645.362029,0,
1551225600000,2.6428,2.7,2.5506,2.6473,170216.16,1551311999999,446376.210717,2555,75094.15,197330.663065,0,
1551312000000,2.645,2.7273,2.6086,2.6495,234356.11,1551398399999,626026.033608,3812,107826.63,288992.929235,0,
1551398400000,2.6465,2.74,2.6305,2.6815,102303.16,1551484799999,275335.562904,2156,43043.44,115955.838064,0,
1551484800000,2.6949,2.7123,2.631,2.6606,63182.56,1551571199999,168608.170125,1344,25681.49,68625.951725,0,
1551571200000,2.6592,2.6694,2.6143,2.652,65083.29,1551657599999,172443.004901,1403,22204.63,58845.411276,0,
1551657600000,2.6483,2.6682,2.505,2.5858,95495.86,1551743999999,245755.680603,2215,34857.56,89762.013944,0,
1551744000000,2.5878,2.654,2.517,2.623,117470.56,1551830399999,306582.798678,2085,43453.2,113389.445077,0,
1551830400000,2.623,2.6503,2.5342,2.5489,162047.63,1551916799999,418143.782589,2785,53356.64,138064.747217,0,
1551916800000,2.5539,2.6017,2.523,2.5659,176443.0,1552003199999,451297.061478,2815,70124.79,179774.837616,0,
1552003200000,2.5645,2.8255,2.5319,2.647,610406.53,1552089599999,1645415.965938,9578,291415.17,787219.828113,0,
1552089600000,2.6561,2.7898,2.6251,2.7213,259840.33,1552175999999,706501.555742,4662,104972.19,285525.774448,0,
