unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1643328000000,2.22400000,3.89000000,2.12600000,2.28400000,2664475.46000000,1643414399999,6524500.30681000,32077,1294711.93000000,3183666.46783000,0
1643414400000,2.28500000,2.43000000,2.25100000,2.30700000,759171.61000000,1643500799999,1766734.82574000,9999,406560.45000000,946200.73671000,0
1643500800000,2.31000000,2.35500000,2.17500000,2.21200000,335437.48000000,1643587199999,759638.91101000,4747,170738.56000000,386112.78556000,0
1643587200000,2.21200000,2.30000000,2.09200000,2.14000000,617704.91000000,1643673599999,1335559.43893000,6857,280005.48000000,605353.30512000,0
1643673600000,2.14000000,2.24600000,2.10400000,2.14400000,421554.72000000,1643759999999,915679.08905000,5569,192855.98000000,419494.72173000,0
1643760000000,2.14400000,2.20000000,2.07400000,2.09500000,309134.58000000,1643846399999,660022.00926000,4246,130833.54000000,280046.79783000,0
1643846400000,2.09200000,2.16000000,2.00600000,2.06900000,337193.01000000,1643932799999,698825.01309000,4807,168861.35000000,349729.56678000,0
1643932800000,2.06800000,2.24000000,2.04900000,2.22600000,397527.22000000,1644019199999,857724.03049000,4802,199272.95000000,430284.78750000,0
1644019200000,2.22800000,2.36200000,2.18000000,2.20300000,361300.26000000,1644105599999,813207.73846000,5378,176722.69000000,398528.48708000,0
1644105600000,2.20400000,2.31400000,2.18900000,2.24800000,295394.78000000,1644191999999,663258.57692000,4281,164811.38000000,370107.79599000,0
1644192000000,2.24700000,2.39800000,2.22100000,2.36200000,439297.94000000,1644278399999,1021560.86695000,5416,264966.77000000,616822.01883000,0
1644278400000,2.36400000,2.44800000,2.24900000,2.35700000,549500.22000000,1644364799999,1295125.27525000,5857,256780.16000000,605797.68357000,0
1644364800000,2.35800000,2.50000000,2.31400000,2.36800000,553008.03000000,1644451199999,1326569.79795000,6037,264651.48000000,636133.12311000,0
1644451200000,2.37300000,2.46600000,2.29000000,2.36500000,467149.44000000,1644537599999,1109526.35876000,5984,210934.06000000,502304.04693000,0
1644537600000,2.36500000,2.38200000,2.15000000,2.17600000,436003.79000000,1644623999999,1001289.85322000,5222,204142.32000000,468531.90251000,0
1644624000000,2.18500000,2.23300000,2.13700000,2.16800000,306457.83000000,1644710399999,670686.44926000,3919,147943.00000000,324330.23779000,0
1644710400000,2.17400000,2.28000000,2.10400000,2.11000000,279453.36000000,1644796799999,612897.39167000,3918,134603.86000000,295222.13658000,0
